Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,12.1,15.4,16.9,19.4,20.5,20.5,19.9,20.0,19.4,18.5,14.3,13.6,17.5
Baja California,16.7,16.5,19.1,20.0,23.0,23.0,27.4,27.5,28.7,23.9,19.2,15.2,21.7
Baja California Sur,18.8,19.7,21.0,22.3,25.2,25.2,29.3,29.5,29.0,26.7,22.2,19.1,24.0
Campeche,22.9,26.1,27.8,29.2,28.6,28.7,29.4,29.2,28.5,27.5,24.2,23.9,27.2
Coahuila,11.9,16.3,18.1,22.1,24.6,24.6,27.7,28.1,25.2,22.7,14.2,14.5,20.8
Colima,25.0,25.4,25.4,26.5,28.6,28.6,28.7,28.6,27.4,28.2,26.3,25.2,27.0
Chiapas,21.2,23.9,25.3,26.4,25.8,25.8,25.8,25.9,25.1,24.5,23.1,21.6,24.5
Chihuahua,10.9,14.1,15.4,18.0,21.0,21.0,24.3,23.0,22.2,19.8,12.4,10.6,17.7
Ciudad de México,14.1,17.1,18.7,19.4,18.6,18.6,18.0,18.3,17.8,16.7,16.0,15.1,17.4
Durango,11.4,15.4,16.5,19.0,21.2,21.2,22.6,22.2,21.5,19.5,13.2,12.4,18.0
Guanajuato,14.1,17.6,19.1,21.2,21.4,22.0,20.4,20.5,20.4,18.9,16.5,15.7,19.0
Guerrero,23.5,25.1,26.5,28.4,27.6,27.6,26.2,25.8,25.2,25.0,24.5,23.2,25.7
Hidalgo,13.3,17.2,18.9,19.3,20.0,20.0,20.0,20.6,20.1,18.7,15.1,14.5,18.1
Jalisco,15.9,18.6,19.8,22.1,23.2,23.2,22.4,22.4,22.0,21.5,18.1,17.3,20.5
Estado de México,10.9,13.6,15.2,16.4,16.1,16.1,15.8,15.9,16.0,14.8,13.5,12.5,14.7
Michoacán,16.5,18.6,19.3,21.5,21.8,21.9,21.1,21.0,20.8,20.5,18.8,16.8,19.9
Morelos,18.7,21.6,23.5,24.7,23.9,23.9,22.4,22.6,22.0,21.4,19.9,18.7,21.9
Nayarit,22.5,23.9,24.8,25.3,29.1,29.1,29.0,28.5,28.0,28.2,24.5,23.0,26.3
Nuevo León,13.0,16.7,18.3,22.5,24.6,24.5,27.9,28.6,25.4,23.2,15.7,15.2,21.3
Oaxaca,19.6,22.2,24.0,25.6,24.3,24.3,24.5,24.9,23.8,23.1,21.4,20.2,23.2
Puebla,14.5,17.6,19.0,20.4,20.2,20.2,19.5,19.9,19.3,18.5,16.1,15.7,18.4
Querétaro,14.2,17.9,19.8,20.8,21.2,21.2,21.2,21.4,21.0,19.5,17.0,16.5,19.3
Quintana Roo,23.7,26.3,27.3,27.9,28.9,28.9,29.9,30.2,28.8,28.1,25.4,25.0,27.5
San Luis Potosí,16.3,19.6,21.2,23.1,25.5,25.5,26.4,27.1,25.4,23.8,16.2,16.7,22.2
Sinaloa,21.1,21.8,23.0,24.4,28.0,29.2,29.4,29.2,29.0,28.2,23.7,20.6,25.6
Sonora,16.5,18.1,19.8,22.1,25.7,25.7,29.9,28.8,28.4,25.1,19.8,16.2,23.0
Tabasco,22.1,25.2,26.9,28.0,27.8,27.8,28.5,28.8,27.7,27.1,24.3,23.6,26.5
Tamaulipas,15.7,18.7,20.6,24.9,26.0,26.0,28.7,29.9,27.5,25.6,18.7,19.4,23.5
Tlaxcala,10.8,13.9,15.7,16.8,16.6,16.6,15.7,16.1,16.2,15.2,13.8,12.5,15.0
Veracruz,17.6,20.4,21.9,24.6,24.1,24.1,24.6,25.0,24.1,23.0,19.7,19.5,22.4
Yucatán,22.3,24.9,26.5,28.0,27.8,27.8,28.4,28.4,27.4,26.5,23.6,23.2,26.2
Zacatecas,11.9,15.4,16.6,18.7,20.9,20.9,20.2,20.5,19.8,18.4,13.9,12.9,17.5
Nacional,16.1,18.7,20.3,22.4,24.1,24.1,25.8,25.7,24.7,23.0,18.2,16.8,21.6
