Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,4.3,4.3,6.2,8.4,10.8,12.6,12.7,12.0,11.8,9.3,5.7,5.5,8.6
Baja California,5.8,7.6,7.4,9.5,11.5,13.3,16.3,17.6,15.9,13.1,8.3,5.9,11.0
Baja California Sur,9.1,9.5,10.2,12.0,13.7,16.0,19.6,21.1,20.6,17.4,12.1,10.0,14.3
Campeche,17.2,16.6,18.5,20.2,19.9,21.0,20.4,20.0,20.0,19.6,18.3,17.6,19.1
Coahuila,5.2,6.5,9.9,12.3,15.2,17.8,18.1,17.7,15.7,12.5,7.4,7.1,12.1
Colima,15.0,14.2,15.1,15.8,18.3,19.4,19.4,19.4,19.6,18.8,17.4,16.2,17.4
Chiapas,15.9,15.5,16.9,18.6,18.9,19.5,18.6,18.6,18.6,18.2,16.9,16.4,17.7
Chihuahua,0.6,2.3,4.1,7.6,11.1,14.5,16.3,15.6,13.4,8.3,2.1,2.1,8.2
Ciudad de México,5.7,6.0,8.2,9.4,10.3,11.2,10.6,10.8,10.6,9.0,6.9,5.5,8.7
Durango,2.9,3.0,5.9,8.3,11.0,14.1,14.3,13.7,12.6,8.8,4.4,4.7,8.6
Guanajuato,5.6,6.8,8.6,11.2,13.2,13.5,12.9,12.3,12.1,9.9,7.3,6.9,10.0
Guerrero,16.0,16.1,17.8,19.2,20.3,20.3,19.6,19.3,18.9,18.7,17.4,16.3,18.3
Hidalgo,5.4,5.3,7.7,9.3,10.6,11.4,11.1,10.5,10.5,8.8,6.7,5.6,8.6
Jalisco,8.1,7.7,9.2,10.9,13.4,16.1,15.6,15.3,15.0,12.8,9.5,9.1,11.9
Estado de México,3.7,3.8,5.6,7.1,8.3,9.2,9.0,8.9,8.9,7.6,5.3,4.0,6.8
Michoacán,8.1,7.8,9.8,11.5,13.6,15.1,14.7,14.4,14.2,12.3,9.6,8.7,11.6
Morelos,10.9,11.5,13.5,15.5,16.3,17.0,15.8,15.9,15.6,14.7,12.8,11.5,14.2
Nayarit,13.8,13.3,14.5,15.4,18.0,21.8,21.5,21.2,21.3,20.1,16.7,15.8,17.8
Nuevo León,6.2,7.8,11.0,13.6,15.9,17.5,17.9,17.7,16.3,13.4,8.2,8.0,12.8
Oaxaca,12.6,12.6,14.3,15.6,16.4,16.7,15.9,15.9,15.7,15.0,13.6,12.7,14.7
Puebla,7.5,7.7,9.8,11.3,11.8,12.5,11.7,11.2,11.3,10.4,8.8,7.5,10.1
Querétaro,6.7,7.0,9.4,11.0,12.0,12.6,12.7,12.0,12.2,9.8,7.9,7.6,10.1
Quintana Roo,17.6,16.4,18.5,20.4,20.8,22.4,21.7,21.5,21.3,20.6,19.2,18.1,19.9
San Luis Potosí,9.2,9.6,12.1,14.1,16.4,17.1,16.8,16.6,16.1,13.7,10.5,10.7,13.6
Sinaloa,12.2,11.9,12.3,14.4,17.5,22.3,23.4,23.2,22.7,20.3,14.3,13.5,17.3
Sonora,6.3,7.9,7.7,10.2,13.8,17.6,21.2,21.3,19.6,14.8,7.9,6.6,12.9
Tabasco,19.8,19.4,20.7,22.6,23.1,23.7,23.1,22.9,22.6,22.1,20.7,20.3,21.7
Tamaulipas,11.0,12.6,15.6,18.1,20.1,21.7,21.2,21.2,20.0,17.5,13.0,12.7,17.0
Tlaxcala,3.2,3.5,5.4,6.9,7.7,8.8,7.8,7.5,7.8,6.5,4.7,2.9,6.0
Veracruz,13.9,13.9,16.3,18.5,19.3,20.2,19.2,18.9,18.7,17.4,15.3,14.9,17.2
Yucatán,17.2,16.4,18.2,19.9,20.5,21.2,21.0,20.9,20.6,19.7,18.4,17.2,19.3
Zacatecas,4.0,3.8,6.0,8.0,10.7,13.1,13.0,12.5,11.9,9.1,5.2,5.6,8.5
Nacional,9.4,9.6,11.5,13.3,15.0,16.6,16.7,16.5,16.0,14.1,11.0,10.2,13.3
