Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,3.7,3.8,5.4,8.2,11.2,14.4,13.1,13.2,12.7,9.4,4.3,3.4,8.5
Baja California,5.4,6.8,8.7,10.2,12.7,15.7,19.7,20.7,17.9,14.0,11.4,7.4,12.5
Baja California Sur,9.5,9.8,11.3,13.2,15.4,19.3,22.0,22.7,22.4,19.4,15.5,12.0,16.0
Campeche,18.4,19.1,18.5,20.8,22.5,22.6,22.0,22.4,22.4,21.0,17.8,17.8,20.4
Coahuila,4.9,7.9,11.2,14.5,18.1,21.1,20.1,20.8,18.7,14.6,9.6,6.6,14.0
Colima,17.5,15.8,16.2,18.1,19.8,22.6,22.1,22.4,22.4,20.1,19.4,17.3,19.5
Chiapas,16.7,17.3,17.9,20.0,21.0,20.3,19.9,20.3,20.3,19.4,16.9,15.8,18.8
Chihuahua,1.6,2.2,5.2,8.2,11.9,17.1,16.7,16.7,15.2,10.5,5.3,2.5,9.4
Ciudad de México,7.9,9.0,10.2,12.6,13.0,13.0,12.5,13.0,11.9,10.6,8.0,7.4,10.7
Durango,1.7,2.9,5.0,7.9,11.0,14.9,14.9,14.9,13.7,9.3,4.2,2.5,8.6
Guanajuato,7.5,7.6,9.6,12.2,14.1,14.7,14.4,14.0,13.3,10.8,7.7,7.2,11.1
Guerrero,16.3,17.1,18.3,15.7,22.5,20.7,19.7,20.0,20.0,19.5,16.9,15.5,18.5
Hidalgo,6.9,7.9,8.3,11.9,13.3,13.4,13.6,13.8,12.7,10.1,7.8,7.0,10.5
Jalisco,8.9,8.5,10.6,13.1,15.7,17.3,16.6,16.4,16.5,14.3,10.3,8.8,13.1
Estado de México,3.6,4.0,5.6,8.3,9.2,9.4,9.7,10.1,9.8,6.5,3.2,2.9,6.8
Michoacán,8.2,8.0,10.1,12.7,14.5,15.2,14.5,14.7,14.3,11.9,8.5,5.8,11.5
Morelos,11.3,11.5,14.7,16.1,16.7,16.8,15.6,17.0,16.2,14.1,11.0,11.1,14.3
Nayarit,12.6,12.6,12.9,15.2,18.1,22.3,21.7,22.2,22.2,21.0,17.0,13.8,17.6
Nuevo León,5.9,8.8,11.9,15.6,19.2,21.1,20.5,21.4,19.2,15.6,11.4,8.6,14.9
Oaxaca,16.1,16.8,17.7,20.1,21.3,21.2,20.3,21.1,20.9,19.2,16.7,15.4,18.9
Puebla,7.1,8.2,9.1,11.4,12.7,12.6,12.3,12.5,12.6,10.3,7.7,7.1,10.3
Querétaro,7.8,8.2,9.5,13.3,14.2,14.5,13.5,14.2,13.8,10.3,7.6,6.9,11.1
Quintana Roo,20.3,21.4,20.7,22.0,23.6,24.1,24.2,24.4,24.1,22.7,19.4,19.4,22.2
San Luis Potosí,9.8,10.5,12.5,16.4,19.0,19.5,19.0,19.6,18.3,15.3,12.2,10.9,15.2
Sinaloa,9.7,10.2,11.0,13.5,16.7,23.2,23.4,23.6,23.2,20.3,15.8,12.0,16.9
Sonora,5.0,5.6,8.2,11.7,14.8,21.0,22.6,22.5,20.9,14.9,10.9,6.8,13.7
Tabasco,19.6,20.2,20.0,22.0,23.2,23.0,22.8,23.2,22.9,21.8,19.5,19.2,21.4
Tamaulipas,10.2,12.7,15.5,18.4,21.9,23.1,22.6,23.4,21.7,18.2,14.5,12.2,17.9
Tlaxcala,2.6,3.9,4.4,6.8,8.1,8.5,8.8,9.0,8.7,6.2,2.8,2.2,6.0
Veracruz,14.5,15.3,16.4,18.8,20.5,20.1,19.5,20.5,20.1,17.8,15.1,15.2,17.8
Yucatán,18.0,18.7,18.7,19.8,21.9,22.4,22.0,22.5,22.7,21.1,17.2,17.2,20.2
Zacatecas,3.2,3.1,5.2,7.9,10.6,13.2,12.6,12.6,11.8,8.2,3.9,3.0,7.9
Nacional,9.1,9.9,11.4,14.1,16.4,19.0,18.9,19.3,18.2,14.9,11.2,9.1,14.3
