Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,13.4,15.1,16.5,19.4,21.6,22.5,19.7,20.8,19.8,18.2,14.5,13.2,17.9
Baja California,13.2,13.4,15.3,17.6,21.1,23.3,25.8,27.0,26.5,20.9,17.7,13.4,19.6
Baja California Sur,17.8,17.7,19.7,21.6,24.2,26.3,28.4,29.3,28.7,26.5,22.2,18.7,23.4
Campeche,23.4,25.1,25.6,28.4,30.2,28.7,27.7,28.9,28.6,27.0,24.1,23.9,26.8
Coahuila,13.8,17.5,19.4,23.5,26.4,29.1,27.4,28.3,24.1,21.8,17.0,13.3,21.8
Colima,24.6,24.4,24.3,25.5,27.1,27.9,26.6,27.9,27.6,27.1,26.0,24.2,26.1
Chiapas,22.5,23.6,24.2,26.4,26.8,25.5,24.6,25.8,25.7,24.6,22.8,22.0,24.5
Chihuahua,10.8,13.1,15.3,18.4,22.1,25.7,23.6,23.5,21.5,18.8,13.9,10.7,18.1
Ciudad de México,14.4,16.2,17.4,19.9,19.9,19.1,17.9,18.9,18.0,17.4,15.2,14.9,17.4
Durango,12.0,13.9,15.9,18.8,21.5,23.7,21.9,22.0,19.9,18.1,13.5,11.6,17.7
Guanajuato,14.9,17.0,25.4,27.6,28.1,21.6,19.6,20.7,19.6,24.8,15.8,14.8,20.8
Guerrero,23.7,24.3,24.1,24.0,27.4,26.9,24.9,26.1,25.8,24.4,24.3,23.3,24.9
Hidalgo,14.5,16.2,17.2,20.3,20.8,19.9,18.8,20.1,18.9,17.4,15.1,14.8,17.8
Jalisco,17.6,18.2,20.2,22.4,24.1,24.1,21.9,22.6,22.5,21.4,18.3,17.4,20.9
Estado de México,11.3,13.2,14.6,17.0,16.9,16.5,15.5,16.5,15.6,14.8,12.3,11.5,14.6
Michoacán,17.2,17.4,19.2,22.0,22.6,21.8,19.8,20.8,20.3,19.1,16.8,15.8,19.4
Morelos,19.4,21.1,22.9,24.8,24.7,23.1,21.0,22.8,22.0,21.5,19.2,18.9,21.8
Nayarit,22.2,22.9,23.7,25.4,27.6,28.4,26.5,27.8,28.0,27.4,24.9,21.8,25.6
Nuevo León,14.5,18.5,20.0,24.3,27.0,28.7,27.2,28.6,24.7,22.1,17.8,14.1,22.3
Oaxaca,21.5,22.8,23.8,26.3,26.8,26.0,24.6,25.9,25.2,24.1,22.3,21.8,24.2
Puebla,14.7,16.1,17.3,19.7,19.8,19.2,18.2,19.3,18.7,17.6,15.5,15.5,17.6
Querétaro,15.2,16.7,18.1,21.0,21.9,21.5,19.8,20.9,19.8,18.5,15.4,14.9,18.6
Quintana Roo,23.9,25.1,25.7,27.4,28.9,28.6,28.0,29.5,29.3,27.3,24.8,24.5,26.9
San Luis Potosí,17.4,19.5,21.5,25.0,26.9,26.2,24.7,26.1,24.0,22.3,18.8,17.3,22.5
Sinaloa,19.5,20.4,21.7,24.1,27.1,29.9,28.9,29.6,29.6,26.3,24.4,20.2,25.1
Sonora,14.6,15.8,18.3,21.2,25.3,29.3,29.0,29.5,28.2,23.5,19.4,14.6,22.4
Tabasco,23.6,25.1,25.4,28.0,29.3,28.1,27.2,28.6,28.2,26.8,24.2,23.7,26.5
Tamaulipas,17.6,20.9,22.0,25.7,27.5,29.2,28.1,29.8,26.9,24.7,20.5,16.6,24.1
Tlaxcala,11.8,13.3,14.4,16.6,17.1,16.2,15.2,16.6,15.9,14.8,12.5,12.3,14.7
Veracruz,19.3,21.2,22.0,24.9,26.4,25.3,24.1,25.4,24.7,23.3,20.1,19.8,23.0
Yucatán,23.2,24.6,25.4,27.7,29.6,28.5,27.4,29.0,28.8,26.9,23.7,23.7,26.5
Zacatecas,12.8,14.3,15.8,18.6,20.5,21.4,19.2,19.7,18.5,17.0,13.4,12.4,17.0
Nacional,16.2,18.1,19.7,22.5,24.8,26.1,24.9,25.7,24.3,22.1,18.6,16.3,21.6
