Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,22.7,24.2,26.7,30.3,30.5,29.1,27.6,27.4,26.0,26.3,24.7,23.6,26.6
Baja California,19.7,21.4,22.6,24.2,28.1,31.8,33.1,33.8,32.8,27.8,25.0,20.7,26.7
Baja California Sur,24.5,25.7,26.5,29.0,31.9,34.0,35.9,36.3,35.2,31.6,29.0,24.7,30.3
Campeche,29.0,30.7,32.8,35.8,35.3,34.1,34.1,33.9,33.0,32.3,30.4,29.2,32.5
Coahuila,20.9,22.6,26.3,32.5,34.8,35.2,34.1,34.0,31.6,29.5,24.8,20.8,28.9
Colima,31.6,32.7,32.2,33.7,34.6,34.1,33.5,33.2,32.5,32.9,32.1,31.9,32.9
Chiapas,29.0,29.5,31.4,32.7,32.1,30.4,30.6,30.7,29.5,29.8,28.9,28.9,30.3
Chihuahua,19.7,20.8,24.5,29.9,32.3,34.1,32.6,32.5,28.9,27.3,22.1,18.0,26.9
Ciudad de México,21.1,22.1,25.3,26.5,25.6,24.1,23.2,23.3,22.5,22.6,21.0,20.7,23.1
Durango,20.8,22.2,24.9,30.1,31.1,31.4,29.3,29.0,27.9,27.0,23.5,20.3,26.4
Guanajuato,23.8,25.9,27.1,30.3,29.5,27.8,27.4,27.2,26.3,25.7,24.1,23.6,26.6
Guerrero,31.2,32.5,33.5,34.9,34.8,32.4,31.8,32.2,31.2,31.8,30.8,30.9,32.3
Hidalgo,22.6,22.9,26.2,27.6,27.3,26.3,25.4,25.4,24.0,24.0,22.0,22.3,24.6
Jalisco,26.7,28.2,30.2,33.0,33.2,30.6,28.7,29.1,28.5,28.7,26.9,26.1,29.1
Estado de México,20.6,21.6,23.5,24.9,24.4,22.6,21.7,22.0,21.2,21.3,19.9,20.1,22.0
Michoacán,24.7,26.0,28.2,30.8,30.4,27.7,26.4,26.5,25.6,26.0,24.6,24.3,26.7
Morelos,27.8,29.3,31.8,33.0,32.2,28.8,28.3,29.0,27.8,28.1,27.1,27.2,29.2
Nayarit,30.7,31.8,32.5,35.4,37.2,35.7,33.9,33.7,33.2,33.5,32.3,30.1,33.3
Nuevo León,21.1,22.7,25.2,29.3,30.5,31.3,31.0,31.2,28.2,26.9,23.1,21.3,26.8
Oaxaca,26.7,27.0,29.5,31.0,30.7,28.7,28.7,28.8,28.0,28.1,26.7,27.5,28.4
Puebla,23.7,24.3,27.2,28.8,28.6,26.6,26.3,26.5,25.5,25.6,24.0,23.6,25.9
Querétaro,23.1,24.0,26.7,28.7,28.5,26.8,26.1,26.1,24.6,24.7,23.2,23.1,25.4
Quintana Roo,29.2,30.8,32.0,33.5,33.6,33.1,33.7,33.6,33.0,32.3,30.8,30.0,32.1
San Luis Potosí,24.2,25.2,29.3,32.0,32.8,32.3,31.1,31.5,29.6,28.8,25.5,24.6,28.9
Sinaloa,28.1,29.7,30.6,33.9,37.0,37.5,36.6,36.2,35.4,34.6,32.6,28.3,33.4
Sonora,23.0,25.2,27.9,32.1,36.9,39.4,37.5,37.4,37.5,32.5,29.2,22.9,31.8
Tabasco,27.9,27.4,32.0,34.7,34.0,34.5,34.4,34.0,34.1,33.1,29.7,28.2,32.0
Tamaulipas,23.8,25.4,29.0,32.8,34.1,35.2,34.1,34.9,32.1,30.3,26.1,24.2,30.1
Tlaxcala,21.5,22.0,24.4,26.0,25.1,22.8,22.5,22.7,22.0,22.3,20.9,20.9,22.7
Veracruz,24.3,24.9,28.8,31.8,32.1,31.9,31.2,31.1,30.3,29.1,26.6,25.1,28.9
Yucatán,29.3,30.5,32.5,35.0,34.7,33.8,33.7,34.0,32.7,31.5,29.5,28.8,32.1
Zacatecas,22.0,23.4,25.8,30.2,30.2,28.7,27.2,27.1,25.7,25.7,22.9,21.5,25.8
Nacional,24.8,26.0,28.4,31.1,31.7,31.0,30.4,30.5,29.3,28.5,26.2,24.8,28.5
