Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,15.5,13.0,8.0,3.1,21.4,53.1,190.4,185.1,111.0,49.5,10.7,11.0,671.9
Baja California,36.4,22.9,17.6,6.2,0.0,1.5,3.1,6.4,7.0,5.1,21.8,37.0,164.9
Baja California Sur,16.0,3.8,1.1,0.0,0.2,3.3,38.9,96.9,51.7,14.7,9.6,26.5,262.7
Campeche,20.0,2.9,27.5,29.9,50.1,149.6,253.9,215.7,237.6,114.1,48.3,23.8,1173.5
Ciudad de México,0.7,5.9,9.1,24.9,63.2,140.3,218.5,161.4,149.0,57.2,0.3,4.8,835.3
Coahuila,8.7,23.4,4.2,2.2,37.1,22.1,68.0,39.9,94.6,67.4,15.4,13.1,396.1
Colima,20.2,12.4,9.1,2.7,11.0,88.6,266.1,311.5,258.3,139.9,20.8,21.1,1161.8
Chiapas,84.8,80.4,88.6,18.2,157.2,205.3,175.3,237.8,328.5,227.6,113.5,116.0,1833.2
Chihuahua,12.8,8.3,4.1,0.9,10.4,32.7,232.0,104.0,74.4,21.7,4.4,20.3,526.0
Durango,25.6,23.6,2.9,1.2,12.0,34.0,232.9,144.3,146.0,77.4,14.1,34.4,748.4
Guanajuato,14.4,14.2,22.0,6.5,45.2,71.9,220.7,210.4,133.6,65.3,9.6,10.1,823.8
Guerrero,6.1,2.8,3.5,9.2,67.9,182.6,210.9,225.1,246.5,129.4,23.4,7.6,1115.1
Hidalgo,21.8,37.7,35.0,48.9,71.3,94.8,170.9,142.1,144.6,84.2,36.3,23.5,911.3
Jalisco,14.7,17.7,17.6,4.6,31.8,111.5,378.9,319.0,194.5,99.2,14.4,14.9,1218.8
Estado de México,6.5,9.8,12.9,27.3,88.5,154.4,273.6,216.6,187.5,114.8,13.0,10.4,1115.3
Michoacán,4.6,5.0,5.2,20.7,44.1,153.9,188.4,198.2,126.0,53.3,13.5,20.9,833.8
Morelos,5.7,2.5,4.7,20.8,81.3,148.8,193.8,138.0,184.0,101.2,11.3,3.9,895.9
Nayarit,24.4,28.9,9.0,1.5,8.9,84.8,505.7,440.7,294.7,125.9,14.2,17.7,1556.3
Nuevo León,12.7,48.2,13.3,5.8,76.2,42.6,121.9,81.4,236.8,124.9,19.5,16.6,800.0
Oaxaca,14.5,47.6,38.1,36.4,106.4,183.2,196.9,211.0,211.1,211.8,64.0,43.3,1364.4
Puebla,23.7,41.6,40.0,73.6,101.2,146.9,188.3,138.1,171.6,161.5,65.2,38.3,1189.9
Querétaro,8.3,10.6,25.8,16.5,46.4,64.8,144.6,126.3,96.8,45.7,11.5,6.9,604.2
Quintana Roo,72.9,15.9,48.0,66.8,92.3,115.1,151.9,101.9,298.0,124.7,85.7,62.1,1235.2
San Luis Potosí,18.2,31.2,24.9,38.2,71.8,94.1,178.5,230.5,188.2,114.5,38.3,29.6,1057.8
Sinaloa,41.2,32.1,6.7,4.3,11.2,35.1,350.0,251.4,250.1,120.8,21.3,43.0,1167.3
Sonora,22.7,15.2,6.8,0.4,2.0,57.8,249.1,189.2,58.3,25.4,18.1,37.7,682.5
Tabasco,174.6,166.5,118.0,20.8,156.2,207.4,134.3,234.3,360.1,341.4,213.1,197.8,2324.4
Tamaulipas,12.6,39.5,12.3,4.8,88.0,75.5,250.2,109.0,271.9,143.7,28.2,16.5,1052.2
Tlaxcala,2.2,9.8,11.2,46.3,78.5,96.2,151.0,101.0,77.1,76.7,11.6,6.6,668.1
Veracruz,27.6,62.3,54.8,66.3,85.8,142.7,211.0,172.6,201.2,214.5,87.5,58.4,1384.6
Yucatán,46.8,31.5,44.4,63.2,69.3,90.2,194.1,168.2,218.8,153.3,68.7,54.2,1202.3
Zacatecas,19.4,17.7,9.7,1.9,23.6,50.0,236.7,169.3,126.1,58.9,13.5,19.3,745.9
Nacional,23.8,25.8,18.7,14.9,44.7,80.4,201.7,157.7,153.9,92.8,30.8,32.7,877.9
