Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,9.5,0.0,0.0,0.1,32.7,157.8,143.8,139.3,121.0,14.0,0.0,10.8,628.9
Baja California,3.8,4.7,28.9,3.2,2.4,5.4,0.3,7.8,22.8,4.7,35.0,13.1,131.9
Baja California Sur,1.2,0.0,0.7,0.7,1.1,3.5,8.4,46.9,165.2,23.9,4.7,13.7,269.9
Campeche,37.9,69.7,14.2,14.6,28.6,189.7,121.6,175.8,151.9,133.7,60.9,86.0,1084.4
Coahuila,3.4,2.0,6.4,6.1,35.9,28.3,64.5,25.3,37.5,3.9,3.1,2.3,218.6
Colima,14.9,0.1,0.0,0.0,69.5,389.3,247.2,373.5,332.5,142.2,0.2,17.0,1586.4
Chiapas,48.0,51.3,21.6,55.4,134.8,422.3,167.5,244.3,361.0,261.7,80.7,117.7,1966.1
Chihuahua,11.4,0.0,0.8,2.6,6.2,75.8,104.7,79.0,90.1,29.3,4.4,2.1,406.4
Ciudad de México,12.3,11.7,8.4,2.5,64.6,211.6,131.4,173.7,196.7,71.0,1.6,8.7,894.1
Durango,14.0,0.1,0.0,0.2,13.9,81.7,142.8,116.2,147.0,19.9,0.6,8.1,544.7
Guanajuato,3.7,6.1,0.2,0.1,73.1,177.1,125.7,133.5,120.7,25.6,0.6,15.7,682.0
Guerrero,43.7,3.7,0.1,1.5,80.4,347.5,163.1,218.7,240.3,143.6,5.6,2.7,1250.8
Hidalgo,11.6,16.8,3.4,3.8,70.9,202.3,100.4,61.6,130.1,173.2,24.6,26.9,825.5
Jalisco,7.3,0.9,0.0,0.0,29.2,231.4,180.8,207.2,208.3,41.7,0.4,19.9,927.1
Estado de México,30.5,19.3,2.7,4.6,110.0,259.1,152.9,189.7,200.4,84.7,3.5,10.5,1067.8
Michoacán,18.5,3.2,0.1,0.2,46.0,245.3,169.9,171.7,166.5,57.3,0.7,6.8,886.1
Morelos,46.1,11.5,0.4,5.6,260.7,466.0,224.7,400.4,499.7,176.9,0.8,5.9,2098.7
Nayarit,14.1,0.1,0.0,0.0,17.6,262.3,264.6,360.1,468.0,83.5,0.4,7.2,1477.9
Nuevo León,12.3,5.6,30.7,2.4,67.8,64.9,47.0,43.0,103.3,40.4,14.8,9.5,441.7
Oaxaca,24.2,12.5,2.9,10.4,102.7,325.5,143.5,178.2,233.6,181.2,33.4,36.5,1284.6
Puebla,27.0,31.6,5.5,11.3,163.3,285.1,139.3,187.8,244.6,162.2,38.6,47.5,1343.8
Querétaro,3.4,8.2,0.4,0.4,73.9,163.2,104.6,91.8,127.8,80.0,4.6,14.7,673.1
Quintana Roo,94.1,61.4,14.1,27.0,52.1,194.2,64.6,109.2,150.7,177.6,96.8,97.6,1139.4
San Luis Potosí,11.8,3.6,1.9,1.4,59.2,187.6,115.1,69.5,146.2,62.2,10.4,24.6,693.2
Sinaloa,12.8,0.0,0.0,0.0,1.5,89.5,230.7,235.8,250.2,61.9,0.5,6.2,889.1
Sonora,2.5,0.0,2.5,0.3,0.6,34.5,88.2,102.9,129.8,67.0,17.0,3.5,448.7
Tabasco,113.4,122.4,25.1,34.3,48.9,218.7,99.2,160.2,230.3,208.2,119.8,242.3,1622.7
Tamaulipas,17.1,4.9,55.5,5.9,82.3,271.3,65.4,48.1,138.2,90.9,14.5,26.5,820.7
Tlaxcala,9.5,30.7,8.3,13.4,141.6,185.2,102.0,129.8,139.6,64.0,3.4,18.8,846.4
Veracruz,64.9,52.5,7.7,8.6,82.7,389.8,173.1,191.6,238.3,264.2,118.4,166.1,1758.1
Yucatán,30.2,50.7,16.0,19.6,60.8,146.8,87.3,146.3,183.8,131.2,47.6,52.2,972.3
Zacatecas,10.5,0.0,0.1,1.1,26.9,89.8,125.3,111.0,138.0,9.5,0.4,8.8,521.5
Nacional,19.5,12.6,8.0,6.5,43.1,155.5,113.9,122.2,158.1,79.7,21.8,28.7,769.5
