Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,4.0,5.9,7.4,8.0,11.2,14.5,13.2,13.5,12.2,11.1,8.7,4.6,9.5
Baja California,7.4,6.1,8.5,12.9,13.6,17.2,18.3,20.6,18.7,13.4,11.4,8.2,13.0
Baja California Sur,12.0,11.9,12.9,15.1,15.8,19.6,23.5,24.1,22.8,19.2,17.3,12.6,17.2
Campeche,17.1,20.1,20.3,21.9,24.5,24.1,22.9,23.2,23.1,23.2,20.8,18.5,21.7
Coahuila,5.9,9.2,11.5,13.8,19.1,21.4,21.6,23.4,21.2,15.6,10.5,6.4,15.0
Colima,18.5,17.8,18.2,17.3,19.5,23.3,23.0,23.6,23.2,22.8,22.5,20.3,20.8
Chiapas,16.5,17.5,18.3,19.2,21.3,21.2,20.5,20.8,20.8,20.6,19.1,16.9,19.4
Chihuahua,2.0,4.1,6.8,8.7,12.0,17.0,18.5,18.2,16.0,11.0,7.6,1.9,10.3
Ciudad de México,7.2,9.1,10.0,11.4,12.6,12.7,11.6,13.4,13.7,13.5,11.3,8.1,11.2
Durango,2.4,5.2,6.7,7.8,10.2,15.1,15.1,15.8,14.1,11.2,7.8,2.4,9.5
Guanajuato,6.4,8.0,10.3,10.9,13.9,15.0,13.6,13.9,13.3,13.0,10.9,6.6,11.3
Guerrero,15.9,16.5,18.2,18.2,19.1,19.9,19.1,19.9,19.7,19.7,19.1,17.3,18.5
Hidalgo,7.7,10.4,11.1,12.5,15.5,15.8,15.0,14.4,14.2,13.9,11.8,7.4,12.5
Jalisco,8.1,9.6,10.8,11.4,14.5,17.7,16.7,16.7,16.4,15.6,13.9,9.9,13.5
Estado de México,3.0,4.7,6.1,7.0,9.1,10.5,9.6,9.5,9.1,9.1,7.4,4.0,7.4
Michoacán,8.1,9.8,11.3,11.3,14.0,15.7,14.8,14.7,14.3,14.2,13.0,9.5,12.6
Morelos,10.1,12.5,15.5,15.5,16.9,17.4,16.1,16.0,16.1,15.9,14.5,11.2,14.8
Nayarit,15.0,15.4,14.5,16.0,17.9,23.1,23.4,23.3,23.1,22.6,20.3,15.8,19.2
Nuevo León,6.8,10.2,12.6,13.8,19.7,21.1,20.4,21.9,20.3,16.5,11.3,8.5,15.2
Oaxaca,13.6,16.1,15.9,17.2,18.6,19.4,17.6,18.2,18.0,17.5,15.9,13.4,16.8
Puebla,6.9,9.4,10.3,11.4,13.5,13.7,12.4,12.7,12.6,12.4,10.5,7.7,11.1
Querétaro,8.4,10.3,11.8,13.5,16.9,16.6,14.8,15.5,14.9,14.2,12.2,7.8,13.1
Quintana Roo,18.7,21.9,21.5,23.0,25.5,25.8,25.1,25.6,24.6,24.3,21.6,19.6,23.1
San Luis Potosí,12.5,14.2,15.7,16.8,22.6,22.5,21.3,21.7,20.6,18.6,15.3,12.4,17.9
Sinaloa,11.5,12.0,12.7,14.5,16.6,22.3,24.4,24.3,23.4,21.8,18.5,13.1,17.9
Sonora,5.6,6.0,8.5,10.7,12.0,18.5,23.5,24.1,21.6,15.2,13.0,7.1,13.8
Tabasco,18.8,20.7,20.7,22.2,25.1,24.5,23.6,24.2,23.8,23.6,21.4,19.7,22.4
Tamaulipas,11.1,14.3,16.2,17.6,23.7,24.5,23.8,25.0,23.4,19.8,14.5,12.7,18.9
Tlaxcala,1.7,4.3,6.0,7.4,9.5,11.0,9.3,8.9,8.9,9.0,6.6,2.9,7.1
Veracruz,13.3,15.6,16.0,16.8,20.6,20.4,19.1,19.6,19.3,18.7,15.7,13.7,17.4
Yucatán,15.9,18.5,18.6,20.5,23.2,23.8,22.3,22.8,22.8,22.7,19.7,17.2,20.7
Zacatecas,3.8,6.1,7.5,8.0,11.0,14.8,13.8,14.2,13.0,11.3,8.8,3.8,9.7
Nacional,8.7,10.5,12.0,13.5,16.4,19.2,19.6,20.1,18.9,16.1,13.3,9.4,14.8
