Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,12.7,16.0,18.3,19.6,21.9,21.0,19.7,19.6,19.3,18.0,14.7,12.9,17.8
Baja California,15.4,15.3,16.4,19.9,20.2,23.5,27.6,29.0,26.7,21.3,17.0,13.8,20.5
Baja California Sur,19.2,19.9,20.7,22.6,24.6,26.8,29.6,29.5,28.9,25.5,22.0,19.2,24.0
Campeche,22.1,25.8,27.3,28.4,28.8,28.9,28.9,28.2,28.3,27.4,26.1,24.3,27.0
Coahuila,11.6,17.9,20.2,21.9,27.1,29.1,28.4,28.3,24.6,21.4,15.4,13.3,21.6
Colima,25.3,26.2,25.8,25.8,28.6,28.4,29.4,28.4,28.3,27.8,26.5,25.5,27.2
Chiapas,22.3,24.7,26.2,26.8,27.2,26.1,26.2,25.9,25.9,25.4,24.8,22.4,25.3
Chihuahua,10.9,14.7,16.7,19.9,24.1,27.1,25.6,24.6,22.7,19.0,13.6,10.8,19.1
Ciudad de México,12.7,16.8,19.1,18.8,20.1,19.3,18.5,17.6,18.0,17.5,15.8,14.6,17.4
Durango,12.0,15.5,18.6,20.0,23.1,24.1,23.2,22.8,20.4,18.2,13.8,11.5,18.6
Guanajuato,13.9,17.4,20.3,21.3,22.8,21.4,20.7,20.4,20.2,19.7,16.4,14.5,19.1
Guerrero,22.5,24.4,25.7,26.8,27.5,25.7,26.4,24.9,25.1,24.9,24.3,23.4,25.1
Hidalgo,13.9,16.4,18.5,19.5,20.5,21.3,21.6,21.3,21.5,20.4,17.4,15.4,19.0
Jalisco,17.3,19.7,21.4,22.6,25.0,24.2,23.5,23.1,22.8,21.8,18.4,16.7,21.4
Estado de México,11.1,14.0,15.9,16.2,17.2,16.8,16.4,16.1,16.2,15.6,13.5,13.0,15.1
Michoacán,16.1,19.0,21.5,22.5,23.7,22.7,22.1,21.7,21.7,21.2,18.6,17.0,20.7
Morelos,18.4,21.9,24.5,25.0,24.0,22.8,22.8,22.0,21.8,21.7,20.6,19.0,22.0
Nayarit,22.5,25.0,24.6,25.6,28.8,29.7,29.3,28.7,28.5,27.7,25.2,22.3,26.5
Nuevo León,12.1,18.7,21.4,21.9,26.0,27.6,28.0,28.4,25.8,22.0,16.2,14.8,21.9
Oaxaca,18.9,20.9,23.2,23.4,24.8,24.3,23.7,23.5,24.2,24.1,22.6,20.2,22.8
Puebla,13.7,17.3,19.3,19.6,20.5,20.0,19.7,19.3,19.7,18.7,16.8,15.3,18.3
Querétaro,14.1,18.6,21.1,22.3,23.8,22.2,22.0,21.9,21.6,20.4,17.5,15.9,20.1
Quintana Roo,23.7,26.9,27.0,28.1,28.9,29.5,30.1,29.9,29.2,28.4,27.0,25.2,27.8
San Luis Potosí,16.0,22.2,24.0,24.5,27.2,27.8,27.9,27.4,27.0,24.2,20.2,18.6,23.9
Sinaloa,20.9,22.3,22.9,25.0,28.0,30.3,30.8,29.6,29.0,27.7,23.6,20.3,25.9
Sonora,16.5,16.5,19.1,22.8,25.4,29.9,30.7,29.2,28.8,23.2,17.7,14.3,22.8
Tabasco,22.1,25.8,27.4,28.2,29.3,29.0,29.3,28.4,28.5,27.9,26.1,24.2,27.2
Tamaulipas,14.9,21.9,23.9,24.4,28.0,29.4,30.0,30.0,28.5,24.8,19.3,17.9,24.4
Tlaxcala,10.5,13.9,16.1,16.0,17.2,16.5,16.4,16.2,16.7,16.1,14.0,12.2,15.2
Veracruz,16.7,21.2,22.9,23.1,25.1,25.5,25.1,24.5,24.8,23.2,21.0,19.2,22.7
Yucatán,21.9,25.5,26.3,27.7,28.0,28.0,28.5,28.1,28.0,27.3,25.3,23.5,26.5
Zacatecas,12.7,16.0,18.1,19.4,22.1,21.5,20.8,20.3,19.5,17.9,14.3,12.2,17.9
Nacional,15.9,19.2,21.1,22.7,25.2,26.4,26.4,25.9,24.9,22.5,18.7,16.4,22.1
