Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,19.7,22.3,26.5,27.8,29.3,29.0,25.0,25.7,24.4,23.4,22.6,21.9,24.8
Baja California,20.3,23.1,21.0,26.1,27.5,29.8,32.3,33.8,33.2,29.8,25.0,19.4,26.7
Baja California Sur,23.2,25.4,26.2,29.8,31.0,33.6,34.8,35.4,35.1,33.1,28.1,23.9,29.9
Campeche,30.9,31.8,34.7,35.7,35.7,35.3,34.5,34.5,33.2,32.5,31.2,30.8,33.4
Coahuila,17.8,20.8,26.0,28.2,30.2,33.2,31.9,32.0,29.1,27.8,22.3,20.3,26.6
Colima,30.1,31.3,32.8,33.3,34.1,34.3,32.9,33.0,32.3,32.2,32.2,32.3,32.5
Chiapas,29.1,29.6,32.2,33.0,32.2,31.4,30.5,30.8,30.0,29.6,28.9,28.8,30.5
Chihuahua,15.3,18.5,22.3,27.3,30.2,33.8,30.9,29.6,28.3,27.3,20.5,17.6,25.1
Ciudad de México,21.7,23.5,27.8,26.7,25.7,25.1,23.3,24.3,22.9,22.1,21.6,21.8,23.8
Durango,18.2,20.7,25.1,27.8,30.2,32.4,28.2,27.9,26.2,25.5,21.8,20.0,25.3
Guanajuato,23.7,25.1,29.3,30.8,31.6,29.0,25.0,26.8,24.8,24.0,23.6,22.7,26.4
Guerrero,30.6,31.4,33.7,34.6,34.6,32.9,31.3,31.2,30.2,30.6,30.7,30.6,31.8
Hidalgo,20.7,22.0,26.6,26.7,26.3,25.4,23.5,24.2,22.7,21.9,21.5,21.7,23.6
Jalisco,24.4,26.7,30.1,31.6,32.5,32.3,28.3,28.5,27.5,27.4,26.5,25.9,28.5
Estado de México,19.8,21.2,24.9,24.8,24.0,23.2,21.4,21.8,21.0,20.6,20.3,20.7,21.9
Michoacán,24.2,26.0,29.9,30.7,31.0,29.9,26.6,26.8,25.5,25.5,25.2,25.3,27.2
Morelos,27.4,28.5,31.6,32.6,31.6,29.9,28.2,28.4,27.4,27.9,27.6,27.6,29.0
Nayarit,28.0,29.6,32.3,33.9,35.0,35.5,32.7,33.0,32.8,32.8,31.3,30.1,32.2
Nuevo León,17.8,21.5,26.7,28.5,29.8,32.6,31.8,32.2,29.2,27.6,22.0,20.6,26.7
Oaxaca,26.8,27.4,30.2,30.8,30.4,29.1,27.8,28.1,27.3,27.2,26.8,26.6,28.2
Puebla,22.6,23.6,27.0,27.3,26.8,25.9,24.6,24.7,23.7,23.5,22.9,23.2,24.6
Querétaro,21.5,23.4,27.9,28.5,28.2,27.6,25.3,25.8,24.4,23.1,23.1,23.3,25.1
Quintana Roo,29.1,29.8,32.1,32.9,33.1,33.4,32.9,33.2,32.3,31.3,29.8,29.1,31.6
San Luis Potosí,21.0,23.3,28.7,30.0,31.1,31.3,28.1,29.9,27.8,26.1,23.7,23.2,27.0
Sinaloa,25.6,28.0,29.7,33.7,35.6,37.6,34.8,35.0,34.4,34.8,30.4,27.2,32.2
Sonora,21.4,24.3,25.2,31.1,34.4,38.0,37.1,35.8,35.4,33.9,26.8,21.7,30.4
Tabasco,29.4,29.5,33.8,36.1,36.1,35.5,34.6,35.0,33.4,32.1,30.1,29.6,32.9
Tamaulipas,21.6,25.3,30.3,31.8,32.6,34.5,32.3,34.3,31.5,29.7,24.6,24.0,29.3
Tlaxcala,20.0,21.7,25.4,24.4,23.7,23.1,21.7,22.1,21.1,20.7,19.9,21.0,22.0
Veracruz,23.5,24.8,29.3,30.8,31.4,31.4,29.5,29.9,28.5,27.6,25.1,25.0,28.0
Yucatán,30.5,31.1,33.7,34.9,35.1,35.0,34.4,34.4,33.4,32.5,31.3,30.3,33.0
Zacatecas,19.3,21.6,26.0,27.7,29.6,30.1,25.8,26.7,25.3,24.2,22.6,21.7,25.0
Nacional,24.1,25.3,28.7,30.3,30.9,31.3,29.5,29.8,28.6,27.8,25.6,24.6,28.0
