Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,3.0,4.2,5.0,9.3,11.2,13.0,12.7,12.6,12.3,8.7,6.5,5.0,8.6
Baja California,5.4,6.3,7.8,9.6,11.4,14.5,15.9,17.9,14.3,12.3,8.5,4.7,10.7
Baja California Sur,8.8,9.2,10.4,13.4,13.9,16.4,20.0,21.3,20.0,17.3,13.2,9.8,14.5
Campeche,15.2,16.6,17.4,18.5,20.8,21.3,20.7,20.5,20.8,18.8,18.3,16.8,18.8
Coahuila,3.5,6.3,7.8,11.4,14.7,16.7,17.1,17.6,15.9,12.2,8.3,6.0,11.4
Colima,14.0,13.6,13.5,15.7,17.3,20.1,20.1,20.3,20.7,18.8,18.2,16.4,17.4
Chiapas,14.0,15.3,15.6,17.3,18.8,19.2,18.7,18.8,18.9,17.4,16.9,15.9,17.2
Chihuahua,-2.2,0.1,2.2,7.1,10.3,14.2,15.4,15.2,12.8,8.1,2.3,-0.8,7.0
Ciudad de México,3.7,5.7,6.6,9.2,10.3,11.3,10.7,10.8,11.2,8.6,7.4,6.1,8.4
Durango,0.1,2.2,3.5,7.6,10.5,13.4,14.2,14.1,13.3,9.6,4.9,2.9,8.0
Guanajuato,3.8,5.6,6.0,11.2,12.9,13.8,12.8,12.2,12.6,10.7,8.7,6.1,9.7
Guerrero,15.1,16.1,16.8,18.9,20.0,20.1,19.5,19.6,19.8,18.6,18.0,16.9,18.2
Hidalgo,2.3,4.5,5.5,8.3,10.2,11.4,10.6,10.2,10.4,7.5,6.3,5.1,7.7
Jalisco,6.8,7.2,8.2,11.6,13.7,16.1,16.1,15.7,15.8,12.7,10.3,8.5,11.9
Estado de México,2.6,3.9,4.7,7.5,9.0,10.2,9.7,9.5,9.6,7.0,6.0,4.6,7.0
Michoacán,7.0,8.0,8.8,12.2,13.8,14.9,14.8,14.4,14.6,12.1,10.6,9.0,11.7
Morelos,9.0,10.6,11.7,14.8,16.1,16.7,15.7,15.6,15.7,13.6,12.5,11.2,13.6
Nayarit,11.7,12.0,12.0,15.1,17.1,20.9,21.2,20.8,21.4,19.1,16.1,13.7,16.7
Nuevo León,5.0,7.5,8.8,12.5,16.2,17.8,17.6,18.2,16.7,13.0,9.1,6.7,12.4
Oaxaca,11.1,12.7,13.4,15.1,16.5,16.8,16.5,16.4,16.3,14.9,14.1,13.1,14.7
Puebla,5.0,7.2,8.3,10.5,12.2,12.7,12.0,11.7,12.1,9.6,8.9,7.5,9.8
Querétaro,3.8,6.4,7.1,10.3,12.2,13.0,13.2,12.6,12.4,9.4,7.9,6.5,9.5
Quintana Roo,15.5,16.7,18.0,17.7,20.1,21.9,21.5,21.1,21.1,19.4,18.9,17.5,19.1
San Luis Potosí,6.3,8.4,10.0,13.2,16.3,17.2,16.7,16.9,16.6,13.4,11.3,9.7,13.0
Sinaloa,10.0,10.7,11.0,14.8,16.9,21.7,23.5,22.8,22.4,20.1,14.3,11.9,16.7
Sonora,5.0,6.4,7.8,11.9,14.2,19.9,21.9,22.0,19.2,15.3,8.8,4.9,13.1
Tabasco,17.2,19.3,19.4,21.0,22.7,23.2,23.0,22.7,22.9,21.4,20.8,19.7,21.1
Tamaulipas,8.8,11.6,13.0,16.6,20.0,21.6,21.1,21.4,20.9,17.1,14.1,11.8,16.5
Tlaxcala,0.6,2.4,2.9,5.6,7.6,9.3,8.2,7.5,8.1,4.8,4.0,2.8,5.3
Veracruz,11.4,13.7,14.5,16.7,19.2,19.6,18.9,18.9,19.1,16.9,15.7,14.5,16.6
Yucatán,15.1,16.6,17.7,18.1,21.0,21.7,21.4,21.1,20.8,19.3,18.9,17.2,19.1
Zacatecas,3.0,3.9,4.8,8.9,11.2,13.2,13.0,12.4,12.2,9.2,6.0,4.4,8.5
Nacional,7.6,9.1,10.0,12.9,14.9,16.7,16.7,16.7,16.3,13.6,11.4,9.5,12.9
