Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,5.2,0.0,10.4,11.8,18.5,,,,,,,,45.9
Baja California,15.2,13.7,3.3,1.3,0.0,,,,,,,,33.5
Baja California Sur,29.1,5.3,5.5,0.1,0.0,,,,,,,,40.0
Campeche,29.2,8.5,63.5,41.9,54.1,,,,,,,,197.2
Coahuila,8.9,0.8,3.7,36.5,10.5,,,,,,,,60.4
Colima,37.9,0.1,5.8,1.5,15.2,,,,,,,,60.5
Chiapas,44.6,16.4,67.3,64.7,35.0,,,,,,,,228.0
Chihuahua,23.3,12.6,5.4,6.5,10.1,,,,,,,,57.9
Ciudad de México,6.2,1.2,27.9,35.1,23.8,,,,,,,,94.2
Durango,31.5,4.8,4.1,5.5,7.6,,,,,,,,53.5
Guanajuato,11.2,0.3,7.2,33.3,42.2,,,,,,,,94.2
Guerrero,11.3,3.2,13.2,20.4,38.8,,,,,,,,86.9
Hidalgo,8.5,5.3,17.8,23.8,8.6,,,,,,,,64.0
Jalisco,16.0,1.6,12.0,9.1,29.9,,,,,,,,68.6
Estado de México,15.8,2.9,34.0,53.2,37.5,,,,,,,,143.4
Michoacán,12.1,0.5,6.6,19.1,36.1,,,,,,,,74.4
Morelos,0.7,3.8,40.7,52.4,143.6,,,,,,,,241.2
Nayarit,9.2,1.3,7.8,0.8,4.9,,,,,,,,24.0
Nuevo León,5.0,0.0,6.9,69.7,36.8,,,,,,,,118.4
Oaxaca,22.3,6.6,26.2,28.7,31.6,,,,,,,,115.4
Puebla,11.7,11.2,41.1,58.8,45.1,,,,,,,,167.9
Querétaro,6.7,3.3,16.8,17.5,24.6,,,,,,,,68.9
Quintana Roo,36.6,18.5,85.9,57.2,10.4,,,,,,,,208.6
San Luis Potosí,7.0,1.0,8.4,33.7,47.8,,,,,,,,97.9
Sinaloa,43.3,3.4,3.4,0.1,0.6,,,,,,,,50.8
Sonora,44.8,5.2,19.2,2.6,0.3,,,,,,,,72.1
Tabasco,159.5,22.3,143.3,45.2,29.4,,,,,,,,399.7
Tamaulipas,4.1,0.5,4.1,75.1,42.4,,,,,,,,126.2
Tlaxcala,7.1,1.3,34.2,55.2,19.6,,,,,,,,117.4
Veracruz,73.8,23.9,41.9,47.1,30.6,,,,,,,,217.3
Yucatán,21.6,13.6,64.1,47.4,75.7,,,,,,,,222.4
Zacatecas,16.9,0.8,6.1,14.5,14.1,,,,,,,,52.4
Nacional,25.7,6.9,19.4,25.2,21.5,,,,,,,,98.7
