Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,3.7,5.2,5.8,9.1,11.1,12.9,12.8,12.8,11.1,8.2,6.0,4.0,8.5
Baja California,4.7,6.0,7.6,9.8,10.9,13.4,17.2,16.7,14.7,11.9,7.8,5.4,10.5
Baja California Sur,7.9,9.8,10.1,12.5,14.0,16.1,20.1,20.7,20.4,17.0,12.5,9.3,14.2
Campeche,16.7,16.2,17.6,19.5,20.5,21.1,20.6,20.8,20.8,19.4,18.7,16.0,19.0
Coahuila,4.8,5.8,8.1,12.2,15.2,16.5,17.5,16.9,14.6,11.3,8.6,4.6,11.3
Colima,14.1,14.3,14.1,15.2,16.0,18.4,19.6,19.7,19.4,18.9,17.2,14.9,16.8
Chiapas,15.4,14.9,15.5,17.9,18.8,19.2,18.7,19.0,18.9,17.9,17.2,15.3,17.4
Chihuahua,-0.7,2.0,3.4,7.6,10.9,14.7,16.0,15.8,13.0,8.7,3.4,-0.3,7.9
Ciudad de México,4.8,5.6,6.7,8.5,10.1,11.0,9.9,9.9,9.3,7.5,6.2,5.1,7.9
Durango,2.1,4.0,4.4,8.1,10.9,13.5,14.2,14.1,12.0,8.3,4.8,2.8,8.2
Guanajuato,4.1,6.8,8.3,11.2,12.9,13.8,13.5,13.0,11.4,9.4,7.2,6.0,9.8
Guerrero,15.8,16.7,17.3,18.5,19.7,20.3,19.7,19.8,19.6,19.0,17.7,16.3,18.4
Hidalgo,4.1,4.9,6.1,8.4,10.3,11.4,11.1,11.1,9.9,7.3,6.2,4.6,7.9
Jalisco,6.6,8.0,8.4,11.1,12.8,15.5,15.7,15.9,14.8,12.2,9.4,7.5,11.5
Estado de México,3.2,4.4,5.4,7.2,8.8,10.2,10.0,10.2,9.5,7.2,5.3,4.0,7.1
Michoacán,7.6,9.0,9.6,11.5,13.4,15.2,15.0,15.0,14.0,11.6,9.7,8.0,11.6
Morelos,9.9,11.0,12.5,14.5,16.0,16.6,15.4,15.7,15.3,13.7,11.8,10.2,13.5
Nayarit,11.0,12.7,13.1,15.1,16.9,20.7,21.5,21.4,21.3,20.0,16.0,13.6,16.9
Nuevo León,6.0,6.7,8.8,12.8,16.6,17.7,18.0,17.9,15.4,12.5,9.7,5.1,12.2
Oaxaca,13.0,13.1,13.9,15.7,17.0,17.2,16.8,16.8,16.5,15.1,14.6,13.0,15.2
Puebla,6.4,7.1,8.6,10.6,12.0,12.6,11.8,11.9,11.3,9.7,8.4,7.1,9.8
Querétaro,5.5,6.5,7.1,9.8,12.0,13.0,12.6,12.7,11.2,8.3,7.6,5.7,9.3
Quintana Roo,17.2,16.6,17.6,19.6,20.7,22.2,21.7,21.6,21.6,20.3,19.7,16.9,19.6
San Luis Potosí,8.9,8.9,10.0,13.7,16.5,17.4,17.2,17.1,15.8,13.0,11.2,8.0,13.1
Sinaloa,9.2,11.3,11.7,14.3,16.7,21.4,23.3,23.0,22.7,19.7,14.7,11.6,16.6
Sonora,4.4,7.1,8.1,11.5,14.3,19.2,22.3,21.9,19.8,15.4,8.9,5.1,13.1
Tabasco,19.2,18.9,19.5,22.0,22.9,23.2,22.8,23.0,22.8,21.7,21.1,18.7,21.3
Tamaulipas,10.8,11.1,13.0,17.1,20.5,21.4,21.2,21.3,19.5,16.7,14.9,9.1,16.4
Tlaxcala,1.5,2.5,3.7,5.6,7.1,8.7,7.6,8.0,7.3,4.6,3.6,1.8,5.1
Veracruz,13.6,13.2,14.5,17.2,19.3,19.5,19.0,19.1,18.5,16.6,16.0,12.7,16.6
Yucatán,16.4,16.1,17.5,19.2,20.8,21.6,21.1,21.0,21.0,19.4,18.8,16.3,19.1
Zacatecas,3.2,4.8,5.4,8.8,10.9,13.1,13.1,13.0,11.4,8.2,5.8,3.7,8.4
Nacional,8.5,9.4,10.4,13.0,14.9,16.5,16.7,16.8,15.8,13.5,11.3,8.8,12.9
