Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,14.1,17.2,18.1,21.3,22.7,21.2,20.8,21.3,,,,,
Baja California,15.3,16.5,20.3,18.8,20.3,23.8,27.1,28.1,,,,,
Baja California Sur,20.0,20.8,23.2,24.3,25.1,27.6,30.3,31.0,,,,,
Campeche,23.4,23.4,26.8,28.9,31.0,30.0,29.7,29.6,,,,,
Coahuila,14.0,19.1,22.2,24.4,26.4,28.6,28.7,29.8,,,,,
Colima,26.0,25.8,26.1,27.4,28.6,28.6,29.7,29.7,,,,,
Chiapas,22.9,22.2,25.6,27.2,28.5,27.3,27.5,27.8,,,,,
Chihuahua,10.5,14.7,18.6,20.2,22.8,26.8,26.0,26.4,,,,,
Ciudad de México,15.4,17.5,17.1,19.9,20.6,19.3,19.2,19.1,,,,,
Durango,13.0,16.4,18.7,21.3,23.0,24.6,23.3,24.1,,,,,
Guanajuato,15.1,16.9,18.1,21.5,23.1,21.2,20.9,21.0,,,,,
Guerrero,24.6,24.7,25.7,27.5,28.5,26.8,27.3,27.3,,,,,
Hidalgo,14.9,16.5,17.9,21.1,22.3,21.7,21.5,21.2,,,,,
Jalisco,18.3,20.0,21.4,23.6,25.3,23.9,23.8,23.8,,,,,
Estado de México,12.3,14.7,14.2,16.7,17.6,16.4,16.2,16.1,,,,,
Michoacán,17.5,19.5,20.3,22.3,23.7,21.5,21.5,21.6,,,,,
Morelos,20.0,21.3,23.0,25.3,26.4,23.1,24.3,24.4,,,,,
Nayarit,23.2,23.7,25.0,26.3,28.6,29.0,29.1,29.3,,,,,
Nuevo León,15.4,20.2,22.5,23.5,25.4,28.3,28.3,28.9,,,,,
Oaxaca,20.9,21.3,23.7,25.1,27.0,25.2,25.5,26.0,,,,,
Puebla,15.1,16.9,17.5,19.6,21.4,19.8,19.7,19.9,,,,,
Querétaro,15.9,18.1,19.0,22.6,23.7,22.0,21.9,22.1,,,,,
Quintana Roo,23.7,23.5,26.1,27.3,29.6,29.8,29.9,30.2,,,,,
San Luis Potosí,17.4,19.7,22.6,26.0,26.6,25.8,25.4,26.8,,,,,
Sinaloa,22.1,22.1,25.2,27.4,29.0,31.1,31.3,31.2,,,,,
Sonora,16.8,19.2,22.8,23.5,25.1,30.4,31.8,32.2,,,,,
Tabasco,23.2,23.7,26.7,28.7,30.8,29.9,29.9,30.1,,,,,
Tamaulipas,18.0,21.2,24.6,26.3,28.0,29.2,30.0,31.2,,,,,
Tlaxcala,12.2,16.1,14.4,17.0,18.3,17.6,17.4,16.8,,,,,
Veracruz,18.7,19.8,22.0,24.4,26.5,25.9,25.3,25.7,,,,,
Yucatán,22.7,23.1,26.3,27.8,30.5,29.5,29.4,29.4,,,,,
Zacatecas,13.2,16.4,17.5,20.6,22.2,21.5,20.8,21.0,,,,,
Nacional,17.0,19.3,21.9,23.7,25.4,26.6,26.8,27.2,,,,,
