Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,22.5,32.5,0.1,1.3,31.5,50.8,179.6,112.1,112.5,51.3,19.2,0.0,613.4
Baja California,8.4,2.0,15.0,8.1,0.0,0.0,0.0,0.0,6.7,0.3,10.5,34.3,85.3
Baja California Sur,0.8,6.7,0.1,0.0,0.0,0.0,14.3,14.9,28.0,7.2,13.5,7.0,92.5
Campeche,68.8,111.1,11.8,9.0,93.8,173.7,211.1,225.9,484.3,122.5,72.3,51.1,1635.4
Ciudad de México,8.5,2.8,15.3,32.7,24.1,88.1,190.6,102.6,191.0,88.4,23.4,0.7,768.2
Coahuila,1.1,6.3,1.5,20.7,42.1,35.4,97.4,16.6,70.2,113.8,17.6,2.6,425.3
Colima,22.6,25.0,0.0,0.0,4.2,79.4,180.3,165.4,229.2,174.0,76.4,0.1,956.6
Chiapas,62.1,132.6,45.0,58.1,129.8,302.6,244.7,229.1,437.1,221.5,158.9,66.5,2088.0
Chihuahua,9.6,18.7,2.8,1.6,8.1,19.7,126.1,86.5,36.6,22.3,2.7,18.9,353.6
Durango,2.1,13.7,0.0,3.1,15.1,31.7,78.1,94.2,83.0,34.3,23.7,0.3,379.3
Guanajuato,35.5,20.1,2.9,7.0,19.4,90.5,254.4,122.7,166.6,49.6,41.5,0.3,810.5
Guerrero,16.9,6.0,0.7,1.7,39.9,153.7,166.2,104.9,321.2,67.2,123.1,0.1,1001.6
Hidalgo,17.9,7.8,7.8,23.7,21.2,85.9,59.0,50.6,206.3,83.2,44.7,7.8,615.9
Jalisco,13.9,18.7,0.0,1.6,20.8,109.6,226.0,141.6,166.9,61.6,31.0,0.5,792.2
Estado de México,12.5,6.8,9.1,26.8,21.8,86.0,151.1,87.9,191.1,72.9,37.2,0.3,703.5
Michoacán,22.0,12.7,3.5,6.2,37.5,146.1,215.4,157.7,176.5,84.1,77.4,2.1,941.2
Morelos,0.9,4.1,3.6,5.1,0.0,152.0,109.8,86.4,303.6,90.2,29.5,0.0,785.2
Nayarit,1.4,59.8,0.0,0.0,0.7,37.7,263.8,201.0,335.1,115.6,26.7,2.2,1044.0
Nuevo León,2.3,5.9,10.1,11.7,20.0,55.6,130.6,29.1,310.4,114.9,11.9,1.4,703.9
Oaxaca,10.5,13.8,7.5,4.0,34.6,322.9,289.6,220.8,309.0,146.8,116.1,20.8,1496.4
Puebla,29.0,31.3,19.2,21.4,53.0,217.6,247.2,141.6,273.9,172.9,61.3,12.3,1280.7
Querétaro,15.0,11.3,1.2,28.5,13.7,63.6,118.9,73.7,108.4,73.5,32.1,1.2,541.1
Quintana Roo,19.5,132.6,66.2,10.2,93.9,278.3,76.6,110.4,256.9,164.2,227.1,101.8,1537.7
San Luis Potosí,16.0,12.1,5.5,9.1,30.3,112.5,148.2,49.6,234.6,126.7,38.9,9.7,793.2
Sinaloa,6.3,18.3,0.0,0.2,0.0,1.8,112.9,136.2,169.2,25.1,7.6,11.7,489.3
Sonora,7.3,20.2,0.8,0.0,0.0,1.0,56.1,65.7,41.5,1.9,7.6,26.2,228.3
Tabasco,159.3,308.7,118.2,24.4,77.1,326.1,65.7,170.9,362.4,168.7,361.5,154.2,2297.2
Tamaulipas,4.6,8.5,9.5,23.4,26.4,95.4,100.8,45.1,244.0,174.5,66.3,1.2,799.7
Tlaxcala,6.2,3.0,9.6,21.0,29.5,101.8,98.1,74.5,194.4,73.1,13.5,0.1,624.8
Veracruz,32.4,45.0,29.2,19.6,44.4,308.9,241.8,180.8,209.0,201.4,141.6,41.5,1495.6
Yucatán,24.7,89.3,22.8,6.6,57.0,185.2,76.0,85.7,297.8,82.2,22.0,27.9,977.2
Zacatecas,5.8,38.4,0.1,3.4,20.7,72.5,134.3,121.5,107.8,58.4,18.6,0.1,581.6
Nacional,14.0,29.6,7.8,8.6,31.2,102.1,135.5,99.2,168.3,81.7,44.1,16.8,738.9
