Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,21.1,26.1,27.3,29.4,29.0,29.0,26.9,27.5,26.2,26.9,22.6,22.5,26.2
Baja California,23.8,23.3,26.2,27.1,30.1,30.1,33.3,33.4,35.0,30.5,26.3,20.9,28.3
Baja California Sur,26.3,27.4,28.1,30.2,32.6,32.6,34.9,35.3,34.0,32.8,29.4,26.3,30.8
Campeche,28.2,32.2,34.5,36.3,34.3,34.3,35.5,35.3,33.7,32.3,30.1,29.7,33.0
Coahuila,20.3,25.2,26.2,30.6,32.4,32.4,34.2,34.8,31.1,30.1,21.5,21.3,28.3
Colima,31.7,32.6,33.0,33.1,34.3,34.3,34.3,34.1,32.1,33.2,32.3,31.8,33.1
Chiapas,27.2,30.5,31.9,32.7,30.9,30.9,31.2,31.4,29.7,29.2,28.7,27.2,30.1
Chihuahua,20.3,24.3,24.4,27.5,30.6,30.6,31.4,29.5,28.5,28.8,21.1,20.1,26.4
Ciudad de México,21.3,24.8,26.1,26.4,24.8,24.8,23.8,24.0,23.4,22.9,23.0,22.0,23.9
Durango,21.0,26.4,26.7,28.9,30.6,30.6,29.9,29.4,28.4,28.5,22.1,22.3,27.1
Guanajuato,22.9,27.7,28.7,30.2,29.2,28.8,26.7,27.7,26.9,26.5,24.8,24.4,27.0
Guerrero,31.0,32.8,34.2,35.8,34.0,34.0,32.2,31.9,30.9,30.9,31.1,30.2,32.4
Hidalgo,21.7,26.5,27.7,27.9,27.5,27.5,26.5,27.6,25.8,25.3,22.4,21.9,25.7
Jalisco,24.0,28.5,29.1,31.2,30.7,30.7,29.0,29.1,28.2,28.7,25.9,25.7,28.4
Estado de México,19.5,23.4,24.5,25.1,23.5,23.5,22.2,22.6,22.0,21.7,21.4,20.8,22.5
Michoacán,24.6,27.9,28.0,29.7,28.7,28.8,27.1,27.2,26.4,27.3,26.1,24.7,27.2
Morelos,27.2,30.9,32.4,33.4,31.1,31.1,28.7,29.1,27.8,27.6,27.2,26.6,29.4
Nayarit,29.9,32.5,33.3,34.2,36.1,36.1,34.7,34.1,33.1,33.4,31.0,29.9,33.2
Nuevo León,21.3,25.0,25.7,30.4,31.8,31.7,35.0,35.9,30.9,29.9,22.8,21.5,28.5
Oaxaca,26.5,29.7,31.4,32.9,30.3,30.3,30.3,30.9,28.9,28.5,27.4,26.2,29.5
Puebla,22.7,26.5,27.4,28.8,27.4,27.4,26.2,27.0,25.5,25.0,23.5,23.3,25.9
Querétaro,22.8,27.3,28.6,29.3,28.5,28.5,27.4,28.2,26.8,26.1,24.0,23.4,26.7
Quintana Roo,28.3,30.9,31.7,33.1,32.8,32.8,34.3,35.3,33.1,32.5,30.1,29.7,32.1
San Luis Potosí,23.8,27.4,28.8,31.9,32.2,32.2,32.2,33.7,30.9,30.0,23.1,23.5,29.1
Sinaloa,29.9,31.5,32.1,33.9,36.7,36.7,35.2,34.8,34.2,34.8,31.5,28.9,33.3
Sonora,26.1,28.2,29.2,31.9,35.7,35.7,36.8,35.4,34.9,33.8,28.4,25.0,31.8
Tabasco,26.4,30.1,32.2,33.4,32.5,32.5,33.4,34.1,32.2,31.4,28.7,27.9,31.2
Tamaulipas,23.0,25.5,26.9,31.1,31.7,31.7,34.3,36.1,32.4,31.2,24.7,24.5,29.4
Tlaxcala,19.8,24.3,25.1,25.7,24.2,24.2,22.8,23.7,22.7,22.2,21.9,21.0,23.1
Veracruz,23.6,26.5,28.0,31.3,29.7,29.7,30.0,30.7,28.9,28.1,24.7,24.6,28.0
Yucatán,28.4,31.7,34.0,35.9,34.3,34.3,34.9,35.0,33.2,32.1,29.8,29.8,32.8
Zacatecas,21.0,26.2,26.9,28.9,29.6,29.6,27.3,27.8,26.5,26.8,22.6,22.2,26.3
Nacional,24.0,27.4,28.4,30.8,31.7,31.7,32.1,32.1,30.5,29.9,25.5,24.3,29.0
