Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,22.2,23.5,27.2,29.6,31.7,31.1,27.1,29.0,27.1,26.8,25.0,23.0,26.9
Baja California,21.1,20.1,22.1,23.7,28.2,30.2,33.5,34.9,34.1,27.6,24.0,21.0,26.7
Baja California Sur,25.4,25.7,26.9,28.1,31.4,32.8,34.5,36.1,34.7,31.7,28.6,25.5,30.1
Campeche,28.2,30.1,32.2,35.9,36.6,35.8,34.1,34.3,34.0,32.8,30.4,28.9,32.8
Coahuila,20.9,23.0,27.0,31.0,34.0,36.1,34.2,35.9,29.7,29.7,25.1,21.0,28.9
Colima,31.2,31.2,31.6,32.9,33.6,33.7,32.2,33.0,31.2,32.7,32.8,31.0,32.2
Chiapas,28.2,29.9,31.2,33.5,32.9,31.8,30.4,30.6,31.5,30.2,28.7,28.3,30.6
Chihuahua,19.3,21.3,24.3,27.6,31.8,33.8,31.0,31.7,30.3,26.9,23.2,20.6,26.8
Ciudad de México,20.4,22.6,26.0,26.9,27.5,26.5,23.9,24.4,22.9,23.7,22.3,21.4,24.0
Durango,20.7,22.2,25.4,28.5,31.6,32.0,29.0,29.7,27.2,26.5,23.3,21.5,26.4
Guanajuato,24.9,27.0,28.6,30.7,30.9,30.7,29.2,29.0,26.6,26.1,24.5,23.4,27.6
Guerrero,30.2,30.9,32.7,34.3,34.6,33.3,31.0,31.6,29.4,31.9,31.3,30.2,31.8
Hidalgo,21.2,22.6,26.2,28.5,28.9,28.2,24.8,26.0,24.6,24.6,22.7,22.2,25.0
Jalisco,25.2,24.7,29.4,31.2,32.8,32.1,28.5,29.4,28.5,28.5,27.0,26.3,28.6
Estado de México,17.7,20.5,23.7,25.3,25.4,24.3,21.5,22.0,20.6,21.5,20.6,20.2,21.9
Michoacán,25.0,24.8,28.0,30.4,31.2,30.0,26.4,27.3,26.4,26.6,25.8,24.7,27.2
Morelos,26.3,28.7,31.7,33.0,33.8,31.2,27.8,28.8,27.9,29.1,27.9,27.1,29.4
Nayarit,30.6,30.8,32.8,34.4,35.6,35.4,32.4,33.7,33.4,33.5,33.0,29.8,32.9
Nuevo León,21.3,23.3,27.0,30.9,33.7,35.9,34.2,36.2,31.1,29.1,26.0,21.5,29.2
Oaxaca,27.0,28.4,30.6,33.0,33.7,32.3,30.1,30.6,29.7,30.4,29.0,28.1,30.2
Puebla,20.7,22.7,25.6,27.7,27.8,27.1,25.1,25.9,24.4,24.9,23.4,22.6,24.8
Querétaro,22.1,23.1,26.8,29.3,30.5,30.0,26.4,27.8,25.7,26.2,23.9,22.9,26.2
Quintana Roo,28.2,29.4,30.3,32.5,33.5,33.9,32.9,34.5,34.1,32.7,30.9,29.4,31.8
San Luis Potosí,23.2,25.1,28.9,32.6,34.1,34.3,31.5,33.1,32.3,29.4,26.5,24.2,29.6
Sinaloa,28.9,29.6,31.4,32.9,36.1,36.5,35.4,35.9,33.4,33.5,32.4,28.9,32.9
Sonora,23.2,24.2,27.2,30.0,35.4,37.6,37.1,37.6,36.3,31.0,27.5,23.9,30.9
Tabasco,26.6,28.5,30.7,34.2,35.5,35.2,33.2,33.3,32.8,31.9,29.0,27.6,31.5
Tamaulipas,23.2,24.5,27.7,31.7,34.3,35.6,34.3,36.1,32.7,30.9,27.7,23.1,30.1
Tlaxcala,20.1,21.5,24.3,25.9,26.5,25.0,23.1,23.6,21.9,23.1,21.3,20.9,23.1
Veracruz,22.9,24.5,26.9,30.2,31.9,31.8,29.7,30.2,29.3,28.6,26.1,24.1,28.0
Yucatán,28.6,30.0,32.0,35.4,36.2,35.7,33.4,34.6,34.0,32.7,30.5,28.6,32.6
Zacatecas,21.6,22.4,25.9,28.5,30.7,30.2,26.5,27.9,25.8,25.7,23.6,22.0,25.9
Nacional,23.8,24.9,27.7,30.4,32.9,33.5,31.6,32.6,30.7,29.2,26.4,24.2,29.0
