Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,0.0,0.0,0.0,2.6,24.7,10.6,44.6,232.7,39.6,9.1,27.5,12.7,404.1
Baja California,17.2,12.0,22.9,2.7,1.1,0.0,0.7,0.8,8.6,12.1,1.6,9.9,89.7
Baja California Sur,27.7,11.9,0.5,0.0,0.1,0.0,23.2,79.1,32.5,11.3,7.9,20.7,214.9
Campeche,60.0,3.6,17.3,1.3,10.2,177.8,188.6,230.5,331.0,113.0,26.3,40.4,1200.0
Ciudad de México,0.4,0.0,1.9,17.2,80.1,84.9,97.9,174.0,87.8,29.0,3.5,15.3,592.0
Coahuila,6.8,4.8,2.6,10.7,29.8,57.3,15.3,49.0,43.7,26.4,53.4,22.3,322.2
Colima,0.0,0.0,0.0,0.8,7.5,34.3,85.4,363.2,137.5,33.3,42.5,19.5,724.0
Chiapas,86.7,43.7,43.5,41.9,120.2,242.4,161.2,261.4,382.0,219.4,123.6,120.5,1846.5
Chihuahua,9.9,13.1,11.9,5.9,8.1,17.4,77.3,117.1,54.6,26.0,9.2,22.6,373.2
Durango,7.6,4.0,1.8,1.6,9.7,4.1,76.3,123.8,57.6,29.1,46.0,24.2,385.9
Guanajuato,0.0,0.3,0.2,6.1,48.8,19.4,51.4,263.0,48.5,11.2,23.1,11.9,483.9
Guerrero,1.4,0.2,1.5,4.1,19.5,238.8,198.4,269.0,361.3,126.4,19.2,4.7,1244.5
Hidalgo,13.6,30.7,22.0,42.0,46.5,125.0,107.5,141.5,160.6,52.7,41.2,20.3,803.6
Jalisco,0.0,0.0,0.0,2.7,26.9,28.8,103.2,392.2,79.1,20.0,32.9,18.9,704.6
Estado de México,0.9,1.6,1.7,10.0,56.1,111.4,124.9,213.1,136.6,58.3,23.6,12.6,751.0
Michoacán,0.0,0.4,0.0,3.2,9.9,106.3,133.5,180.1,166.1,33.9,10.2,18.0,661.8
Morelos,2.4,0.8,1.0,12.2,23.2,148.5,111.8,176.3,123.6,47.4,6.6,3.8,657.5
Nayarit,1.1,1.3,0.3,1.0,2.7,42.1,183.8,311.6,134.9,58.7,35.6,15.9,789.1
Nuevo León,17.2,11.1,2.3,25.7,12.4,36.8,60.8,90.6,106.9,29.2,17.3,54.3,464.8
Oaxaca,9.6,11.9,11.6,25.4,109.2,305.7,243.8,263.8,234.1,59.0,50.3,67.8,1392.3
Puebla,25.3,29.2,27.2,36.5,35.7,200.7,141.1,195.2,144.3,76.2,70.7,41.6,1023.7
Querétaro,2.8,10.6,1.2,12.9,31.5,77.6,74.6,156.9,66.1,19.4,10.2,12.5,476.4
Quintana Roo,148.9,7.1,21.2,24.4,56.8,204.5,133.0,159.2,320.9,115.4,61.2,113.9,1366.3
San Luis Potosí,11.3,29.4,2.3,43.1,21.9,112.9,91.1,270.1,140.1,36.3,32.9,45.0,836.5
Sinaloa,20.5,15.4,2.7,1.0,7.7,40.7,153.2,188.7,99.2,43.5,27.0,29.2,629.0
Sonora,29.0,20.7,6.9,1.9,2.6,4.7,102.8,129.5,54.8,34.0,11.7,32.1,430.6
Tabasco,176.1,59.5,60.0,45.4,109.2,199.9,97.4,225.5,432.6,343.1,193.5,247.9,2190.2
Tamaulipas,22.2,11.4,0.8,37.5,3.1,88.1,176.0,67.2,33.3,29.9,22.6,70.7,562.7
Tlaxcala,1.5,2.9,5.0,19.3,53.8,136.1,86.6,183.7,78.2,42.7,15.4,14.7,639.7
Veracruz,25.1,25.3,26.1,39.8,47.0,195.4,244.5,202.3,218.5,76.1,74.7,98.9,1273.7
Yucatán,59.2,7.5,23.1,41.2,46.2,215.6,182.4,172.3,348.2,126.2,55.6,91.7,1369.2
Zacatecas,5.9,2.2,0.6,4.5,18.6,40.0,101.5,114.6,45.4,22.6,35.2,23.4,414.6
Nacional,22.5,12.7,9.7,14.0,26.1,85.7,110.0,158.9,124.1,52.4,34.6,41.1,691.8
