Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,3.9,4.7,6.2,8.5,11.4,13.5,12.7,12.3,11.8,10.1,6.7,4.8,8.9
Baja California,6.7,6.9,8.6,9.5,11.7,14.2,16.1,17.7,16.0,12.1,7.5,5.8,11.0
Baja California Sur,9.6,8.9,10.6,11.9,13.5,16.7,19.8,21.3,20.2,17.0,13.2,10.6,14.4
Campeche,17.2,17.6,17.8,19.8,20.3,21.0,20.6,20.5,20.2,20.1,18.5,17.2,19.2
Coahuila,5.6,6.6,8.9,11.9,15.3,17.8,18.3,17.9,15.7,12.5,9.2,6.7,12.2
Colima,14.0,13.6,13.7,14.8,16.6,18.6,19.3,19.5,19.8,19.3,18.3,16.3,17.0
Chiapas,15.0,15.2,16.2,17.9,18.8,18.6,18.3,18.3,18.3,18.0,16.8,15.7,17.2
Chihuahua,1.7,2.3,4.3,7.5,11.4,16.0,16.9,16.3,13.6,8.2,4.7,3.0,8.8
Ciudad de México,5.6,6.3,7.7,8.8,9.6,10.5,10.0,10.2,10.1,9.1,6.9,5.5,8.3
Durango,2.8,3.7,5.5,8.1,11.2,14.5,14.8,14.4,12.7,8.9,6.8,4.5,9.0
Guanajuato,6.2,6.2,7.4,9.9,11.6,13.7,13.0,12.9,12.3,10.2,8.0,5.1,9.7
Guerrero,15.9,16.6,17.5,18.4,20.1,20.1,19.3,19.2,19.1,19.2,17.9,16.6,18.3
Hidalgo,5.1,5.6,6.9,8.9,9.9,11.2,10.4,10.7,10.3,8.8,6.8,5.2,8.3
Jalisco,7.0,7.3,8.5,10.5,13.1,16.2,15.6,15.5,15.2,14.0,10.7,8.4,11.8
Estado de México,3.4,4.0,5.3,7.0,8.2,9.6,8.9,9.0,8.8,7.4,5.3,3.6,6.7
Michoacán,7.6,8.1,9.2,11.3,13.2,14.8,14.2,14.2,13.9,12.9,10.7,8.5,11.5
Morelos,11.2,12.3,13.7,15.1,16.6,17.1,16.0,16.1,15.9,15.4,13.2,11.6,14.5
Nayarit,13.2,12.7,13.5,14.8,17.3,21.0,21.4,21.2,21.0,20.0,17.5,15.2,17.4
Nuevo León,6.6,7.8,9.8,12.7,15.6,17.6,17.9,17.4,15.8,13.2,10.2,8.2,12.7
Oaxaca,13.1,13.3,14.1,15.6,16.6,16.9,16.3,16.3,16.5,15.7,14.8,13.6,15.2
Puebla,6.8,7.6,9.1,10.7,11.6,12.4,11.4,11.7,11.4,10.5,8.5,7.1,9.9
Querétaro,6.9,7.7,8.9,10.8,12.3,13.1,12.9,12.6,12.1,11.0,9.2,7.3,10.4
Quintana Roo,17.7,17.6,17.9,19.7,21.2,22.2,22.0,21.8,21.6,21.4,19.5,17.6,20.0
San Luis Potosí,9.3,10.0,11.3,13.9,16.1,17.3,17.0,16.8,15.9,14.3,12.4,10.0,13.7
Sinaloa,11.6,10.9,12.5,14.1,17.1,22.9,24.1,23.7,23.0,20.1,16.3,13.7,17.5
Sonora,6.8,6.6,8.5,10.4,14.2,19.6,21.8,22.0,19.8,14.8,9.7,7.2,13.4
Tabasco,19.4,19.8,20.3,22.1,23.3,23.2,22.9,22.7,22.6,22.4,20.8,19.7,21.6
Tamaulipas,11.1,12.3,14.0,17.1,19.7,21.4,21.5,21.0,19.8,17.5,14.8,12.6,16.9
Tlaxcala,2.7,3.6,5.1,6.6,7.7,8.8,7.7,7.9,7.9,6.8,4.0,2.8,5.9
Veracruz,13.9,14.6,15.5,17.8,19.3,19.9,19.2,18.9,18.7,17.8,16.1,14.8,17.2
Yucatán,17.1,16.7,17.4,19.1,20.3,20.6,20.5,20.3,20.2,19.8,18.3,16.4,18.9
Zacatecas,3.3,3.9,5.3,7.7,10.8,13.6,13.0,12.7,11.8,9.6,6.7,4.7,8.6
Nacional,9.3,9.7,11.0,12.9,14.9,16.7,16.7,16.7,16.0,14.3,11.9,10.0,13.3
