Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,3.4,4.2,7.4,7.9,11.1,13.9,13.1,13.3,12.4,9.4,5.3,3.9,8.8
Baja California,8.2,8.8,11.5,12.2,14.7,17.9,20.9,20.2,17.9,13.6,10.9,8.5,13.8
Baja California Sur,10.3,10.7,13.1,14.3,15.6,19.3,23.0,24.5,22.3,20.6,16.5,14.2,17.0
Campeche,18.8,19.9,20.7,22.7,24.1,24.0,23.3,23.7,23.8,22.3,19.4,18.6,21.8
Coahuila,7.3,9.2,12.6,14.9,17.9,20.8,21.6,21.5,19.3,14.3,10.6,6.7,14.7
Colima,17.4,17.0,18.7,16.9,19.4,23.3,22.7,23.0,22.5,22.4,21.5,18.7,20.3
Chiapas,15.8,17.5,18.4,19.3,21.9,21.7,21.3,21.2,21.4,20.5,18.3,16.6,19.5
Chihuahua,2.3,4.2,7.8,10.2,11.7,17.5,17.6,16.8,14.6,11.4,6.0,2.7,10.2
Ciudad de México,7.0,8.3,8.9,10.6,12.3,12.2,11.4,12.1,11.6,10.2,7.5,5.0,9.8
Durango,3.0,3.5,6.8,8.7,11.6,15.3,15.3,15.2,13.8,11.3,5.8,3.6,9.5
Guanajuato,5.5,7.3,9.5,10.6,14.2,15.1,14.0,14.2,13.8,11.3,7.2,5.5,10.7
Guerrero,15.5,15.9,17.7,18.2,20.0,19.6,18.9,18.8,18.5,18.2,16.8,14.5,17.7
Hidalgo,7.1,6.7,8.8,10.6,15.1,15.1,14.5,14.9,14.2,12.2,8.4,6.0,11.1
Jalisco,7.6,8.5,11.4,11.8,15.0,17.8,17.0,17.3,16.7,14.8,10.7,9.6,13.2
Estado de México,1.8,3.0,5.1,6.5,9.7,9.9,9.7,10.1,9.6,7.9,3.3,2.5,6.6
Michoacán,7.7,8.1,10.9,11.3,14.4,15.9,14.8,15.3,14.7,12.9,9.2,7.1,11.9
Morelos,10.0,12.0,14.6,15.5,17.6,17.0,16.2,16.8,17.0,15.0,12.1,9.8,14.5
Nayarit,14.8,14.3,16.0,16.8,19.6,23.5,23.3,23.7,23.4,22.8,20.0,14.8,19.4
Nuevo León,8.0,10.8,14.4,15.3,18.4,20.3,20.5,21.1,19.3,14.4,11.7,7.5,15.1
Oaxaca,12.8,14.2,15.7,16.6,18.3,18.6,17.9,17.8,18.2,17.0,14.1,12.1,16.1
Puebla,7.2,8.2,9.9,11.4,13.8,13.7,12.8,13.2,13.3,11.6,8.6,6.2,10.8
Querétaro,7.5,9.1,11.1,12.8,16.7,16.3,15.5,15.6,14.8,12.9,8.8,6.9,12.3
Quintana Roo,20.8,21.7,21.6,23.9,24.9,25.7,25.5,26.1,25.2,23.5,20.8,19.9,23.3
San Luis Potosí,12.5,13.3,16.0,17.9,20.9,21.7,21.0,21.6,20.2,17.0,14.3,10.9,17.3
Sinaloa,10.9,11.4,13.6,14.8,17.9,22.5,24.2,24.3,23.2,22.0,16.8,13.9,17.9
Sonora,5.7,8.2,10.4,11.9,14.3,20.7,22.7,22.5,19.7,16.7,11.8,8.1,14.4
Tabasco,19.1,20.2,21.0,22.9,24.1,23.9,23.7,23.8,23.9,22.6,20.7,19.3,22.1
Tamaulipas,13.0,15.5,18.0,19.2,21.9,23.6,23.6,24.4,22.7,18.2,16.3,11.4,19.0
Tlaxcala,1.3,3.0,6.2,6.2,10.2,9.8,9.3,9.4,10.4,7.1,2.1,1.9,6.4
Veracruz,14.1,15.1,16.3,18.0,20.0,20.1,19.0,19.6,19.1,17.5,15.3,12.9,17.2
Yucatán,17.1,18.1,18.4,21.0,22.2,22.6,21.9,22.3,22.3,20.8,17.6,16.8,20.1
Zacatecas,3.6,3.7,7.1,8.0,11.5,14.4,14.1,14.2,13.1,9.9,5.2,4.2,9.1
Nacional,8.9,10.2,12.7,14.1,16.5,19.2,19.5,19.6,18.3,15.7,11.9,9.7,14.7
