Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,5.2,6.1,8.0,11.3,13.7,14.8,13.5,13.2,,,,,
Baja California,9.4,9.6,12.7,12.1,13.9,17.2,21.2,22.5,,,,,
Baja California Sur,14.0,13.8,16.5,18.0,19.1,22.2,25.3,26.4,,,,,
Campeche,17.8,16.9,21.0,22.8,25.1,24.8,24.2,24.1,,,,,
Coahuila,6.7,10.4,14.0,17.5,19.4,22.4,22.5,22.9,,,,,
Colima,19.6,19.4,19.9,21.2,23.1,23.8,24.7,24.7,,,,,
Chiapas,16.7,14.5,19.1,20.9,22.2,21.9,21.7,22.0,,,,,
Chihuahua,2.2,5.9,8.8,11.7,14.1,18.9,19.0,18.6,,,,,
Ciudad de México,8.4,9.4,10.0,12.8,13.9,13.9,13.3,13.1,,,,,
Durango,4.4,6.3,8.4,11.2,13.8,16.6,16.0,16.2,,,,,
Guanajuato,6.2,6.7,8.7,12.5,14.6,15.4,14.1,13.9,,,,,
Guerrero,18.0,17.8,18.6,20.7,22.0,21.1,21.1,21.0,,,,,
Hidalgo,7.0,7.2,9.7,13.1,14.9,16.2,15.2,14.4,,,,,
Jalisco,10.0,10.7,12.2,14.4,17.0,18.0,17.5,17.2,,,,,
Estado de México,3.8,5.5,5.5,8.5,10.0,10.5,9.7,9.5,,,,,
Michoacán,8.7,10.0,10.9,13.1,15.1,14.9,14.4,14.4,,,,,
Morelos,11.6,12.3,14.5,17.1,18.7,17.3,17.4,17.4,,,,,
Nayarit,16.5,15.9,17.1,18.3,20.5,23.6,23.5,23.7,,,,,
Nuevo León,7.8,11.5,14.1,17.1,19.2,22.3,21.2,21.1,,,,,
Oaxaca,13.3,12.9,16.2,17.8,19.8,19.2,19.0,19.3,,,,,
Puebla,6.8,7.6,9.3,11.8,13.9,13.9,13.0,12.8,,,,,
Querétaro,7.7,8.4,10.5,14.5,16.0,16.4,15.6,15.6,,,,,
Quintana Roo,18.6,17.8,21.2,22.4,25.6,26.2,25.7,25.7,,,,,
San Luis Potosí,9.8,10.9,14.3,18.1,19.0,19.9,18.8,19.7,,,,,
Sinaloa,14.0,13.1,16.5,18.1,19.9,24.3,24.9,24.7,,,,,
Sonora,8.1,9.8,12.8,14.0,15.4,22.0,24.8,25.2,,,,,
Tabasco,18.3,17.7,21.2,23.1,24.9,24.5,24.2,24.3,,,,,
Tamaulipas,11.0,13.4,17.7,20.6,22.4,24.3,24.1,24.5,,,,,
Tlaxcala,2.7,6.0,4.9,8.2,10.2,11.3,9.6,8.9,,,,,
Veracruz,13.0,12.9,15.9,18.4,20.6,20.8,20.1,20.1,,,,,
Yucatán,16.4,15.6,19.8,21.1,24.1,24.1,23.5,23.4,,,,,
Zacatecas,4.1,5.5,7.2,10.5,13.2,14.8,13.8,13.1,,,,,
Nacional,9.5,10.7,13.5,15.9,17.8,20.1,20.4,20.5,,,,,
