Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,2.9,7.2,7.4,9.3,12.8,14.0,11.9,12.1,12.9,10.9,6.2,3.5,9.3
Baja California,8.4,8.1,9.5,12.1,13.0,16.1,20.8,22.4,19.2,14.6,10.0,7.5,13.5
Baja California Sur,11.4,13.6,13.2,15.2,17.3,20.5,23.7,24.3,23.5,19.9,15.6,12.8,17.6
Campeche,16.4,19.8,20.4,21.4,22.6,23.2,22.8,22.5,22.9,22.4,20.9,18.9,21.2
Coahuila,3.8,11.0,12.3,14.1,19.5,22.4,21.8,21.7,19.7,15.9,8.4,5.9,14.7
Colima,18.0,19.2,18.1,18.0,22.1,23.0,23.3,22.4,22.5,22.2,20.0,18.2,20.6
Chiapas,15.6,17.6,18.9,20.1,20.9,20.7,20.1,20.2,20.4,20.2,19.1,16.0,19.1
Chihuahua,0.9,6.3,7.0,9.9,13.9,18.5,18.3,17.5,15.6,11.6,4.3,2.1,10.5
Ciudad de México,4.1,9.6,11.5,10.9,12.7,13.6,11.7,11.3,11.8,11.4,8.9,6.8,10.4
Durango,1.8,6.5,8.2,9.4,13.3,15.9,15.3,15.0,13.8,10.5,4.1,1.6,9.6
Guanajuato,4.6,8.7,10.1,11.7,14.0,14.5,13.5,13.5,13.7,13.1,8.3,5.5,10.9
Guerrero,14.8,16.6,17.9,19.2,20.4,19.7,19.6,18.9,19.0,18.9,17.5,15.9,18.2
Hidalgo,5.6,8.2,9.5,11.4,12.4,14.9,14.7,14.9,15.2,14.2,10.5,7.3,11.6
Jalisco,8.0,11.0,10.9,12.7,16.4,17.4,16.3,16.3,16.5,15.2,10.3,7.6,13.2
Estado de México,1.3,4.9,6.2,7.2,8.6,9.9,8.8,9.5,9.7,9.1,5.9,4.1,7.1
Michoacán,6.4,10.2,11.7,13.1,15.2,15.8,14.8,14.8,14.9,14.2,10.4,7.8,12.4
Morelos,9.6,12.9,15.4,16.3,16.5,16.6,15.4,15.8,15.7,15.6,13.6,10.8,14.5
Nayarit,13.4,16.8,14.6,15.8,20.6,23.8,23.4,22.9,23.0,22.2,17.8,14.1,19.0
Nuevo León,4.4,11.7,13.5,14.5,19.1,20.7,20.1,20.7,20.4,16.5,9.5,7.0,14.8
Oaxaca,10.8,13.2,15.4,16.0,17.7,18.2,16.9,17.1,18.0,18.5,16.5,13.8,16.0
Puebla,5.5,9.1,10.9,11.6,12.8,13.5,12.0,12.6,12.9,12.2,9.6,7.3,10.8
Querétaro,5.7,10.7,12.1,13.8,15.7,15.6,14.8,15.5,15.5,14.7,10.4,7.7,12.7
Quintana Roo,18.7,22.1,21.8,22.7,24.1,25.4,25.6,25.1,24.5,23.8,22.1,20.1,23.0
San Luis Potosí,9.2,15.5,16.6,17.4,20.5,21.7,21.3,21.2,21.4,19.0,14.1,11.6,17.5
Sinaloa,10.8,14.1,12.9,14.9,18.8,23.6,24.3,23.6,23.4,21.5,15.2,12.0,17.9
Sonora,6.8,8.0,9.3,12.2,14.8,21.1,23.3,22.6,21.8,16.2,8.5,6.0,14.2
Tabasco,17.4,20.7,21.9,22.7,23.8,23.6,23.4,23.1,23.5,23.3,21.6,19.4,22.0
Tamaulipas,7.9,16.0,17.6,18.3,22.4,23.8,23.7,23.9,23.3,20.0,13.6,11.1,18.5
Tlaxcala,0.4,4.1,6.1,7.3,8.4,10.2,8.0,9.0,9.5,9.4,6.2,3.3,6.8
Veracruz,11.2,15.3,16.7,17.3,19.3,20.2,19.4,19.1,19.4,18.3,16.0,13.4,17.1
Yucatán,15.6,18.2,18.6,20.0,21.1,21.9,21.9,21.8,22.0,21.7,19.5,17.3,20.0
Zacatecas,3.1,7.5,7.1,9.0,12.9,14.6,13.4,13.2,13.6,11.0,5.5,2.9,9.5
Nacional,7.6,11.5,12.5,14.2,17.1,19.5,19.5,19.4,18.8,16.3,11.2,8.7,14.7
