Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,24.0,26.6,28.0,30.9,31.4,30.5,26.9,28.3,25.8,25.9,24.4,23.1,27.1
Baja California,19.5,20.3,22.9,25.4,28.5,30.9,32.8,34.1,34.0,28.7,25.2,19.4,26.8
Baja California Sur,24.9,25.8,27.3,29.4,31.1,33.2,34.7,35.5,34.7,32.6,29.3,25.5,30.3
Campeche,29.5,31.7,32.9,35.7,37.2,34.5,33.9,35.2,34.4,32.5,29.9,29.5,33.1
Coahuila,22.1,26.6,28.1,32.0,34.2,36.5,34.4,35.1,30.1,28.8,24.9,20.8,29.5
Colima,31.9,32.5,32.2,33.1,33.9,33.6,32.1,33.3,32.5,32.3,32.9,31.7,32.6
Chiapas,29.2,30.7,31.4,33.6,33.4,30.9,30.1,31.4,31.0,29.8,28.8,28.3,30.7
Chihuahua,19.7,23.5,25.2,28.6,31.5,34.2,30.5,30.2,28.4,26.9,23.2,19.6,26.8
Ciudad de México,21.7,24.0,25.1,27.3,26.7,25.2,23.7,24.8,22.8,23.0,22.1,22.3,24.0
Durango,22.1,24.8,26.5,29.9,31.2,32.2,29.0,28.8,25.9,25.7,23.0,21.3,26.7
Guanajuato,24.3,27.2,33.8,35.5,35.5,28.9,25.8,27.0,25.8,31.1,24.9,24.7,28.7
Guerrero,31.4,32.4,30.5,32.9,32.9,33.2,30.9,32.1,31.5,28.7,31.4,30.8,31.5
Hidalgo,22.6,24.9,26.4,28.9,28.5,26.5,24.8,26.4,23.9,23.4,22.2,23.0,25.1
Jalisco,26.8,27.3,30.2,32.5,32.8,31.3,28.1,29.2,28.3,28.3,27.0,25.7,28.9
Estado de México,19.9,22.7,23.8,25.9,24.7,23.2,21.6,22.8,20.9,21.4,20.5,20.0,22.3
Michoacán,26.9,27.6,29.0,32.0,31.5,29.4,26.6,27.9,26.7,26.5,26.0,25.1,27.9
Morelos,28.1,30.9,31.7,33.7,32.6,29.8,27.2,29.2,27.8,28.3,27.2,27.1,29.4
Nayarit,31.7,33.1,33.6,35.9,36.2,34.9,32.1,33.5,33.6,33.5,33.1,30.0,33.4
Nuevo León,22.2,27.5,28.7,32.6,34.4,36.1,34.1,35.6,30.3,28.3,25.2,21.0,29.7
Oaxaca,27.9,29.6,31.0,33.4,32.9,31.3,29.9,31.5,30.1,29.3,28.3,28.3,30.3
Puebla,22.7,24.7,25.9,28.2,27.1,25.6,24.6,26.0,24.3,24.2,22.9,23.3,24.9
Querétaro,23.8,25.9,26.9,29.7,29.9,28.6,26.2,27.5,25.1,25.0,23.2,23.3,26.2
Quintana Roo,28.9,30.1,30.8,32.4,33.8,33.0,32.7,34.8,34.5,31.7,30.1,29.3,31.8
San Luis Potosí,25.0,28.6,30.4,33.8,34.8,33.1,31.2,32.8,29.5,28.2,25.6,24.3,29.8
Sinaloa,28.6,30.6,31.5,34.3,35.9,36.5,34.9,35.3,35.7,31.5,32.6,28.9,33.0
Sonora,22.9,25.6,28.2,31.7,35.2,38.1,35.6,36.3,35.8,31.8,28.4,22.8,31.0
Tabasco,28.3,30.4,31.2,34.1,35.4,33.2,32.5,34.0,33.0,31.3,28.9,28.3,31.7
Tamaulipas,24.0,28.2,29.2,32.6,33.0,35.1,33.9,35.8,32.2,30.4,26.9,22.4,30.3
Tlaxcala,21.8,23.8,24.9,26.7,25.9,23.7,22.3,24.3,22.4,22.7,21.6,21.8,23.5
Veracruz,24.4,27.0,28.2,31.1,32.5,30.6,29.3,30.8,29.1,28.0,25.2,24.7,28.4
Yucatán,29.5,31.6,32.6,35.4,37.1,34.5,33.4,35.5,34.7,32.5,29.8,29.6,33.0
Zacatecas,23.2,25.4,26.8,29.7,30.0,29.2,26.1,26.6,24.5,24.8,23.1,22.0,25.9
Nacional,24.1,27.0,28.5,31.4,32.8,33.2,31.3,32.2,30.3,28.8,26.3,23.8,29.1
