Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,0.0,0.1,0.0,0.0,82.1,119.8,81.1,78.8,28.9,16.4,1.2,9.3,417.7
Baja California,2.7,48.9,16.4,6.6,0.1,3.3,0.0,1.2,1.1,11.4,2.8,1.3,95.8
Baja California Sur,0.0,0.3,5.2,0.0,0.2,3.0,7.3,32.3,30.8,18.6,6.8,0.7,105.3
Campeche,17.0,8.0,25.0,7.6,115.2,240.3,157.9,300.9,257.2,174.2,74.1,29.0,1406.4
Ciudad de México,0.0,0.9,10.5,11.5,106.6,181.0,120.5,163.4,99.8,54.6,12.3,1.8,762.9
Coahuila,0.5,15.8,18.5,9.6,29.2,88.4,16.9,25.9,48.1,82.9,42.9,9.4,388.0
Colima,0.0,0.0,0.0,0.0,6.7,140.5,105.9,154.5,276.2,61.4,7.5,7.0,759.7
Chiapas,42.7,37.3,12.7,38.9,360.8,297.4,213.6,335.6,401.4,219.4,132.5,77.8,2170.2
Chihuahua,0.3,0.1,4.2,0.6,6.8,75.2,67.2,39.1,24.4,61.4,26.7,0.6,306.6
Durango,0.0,0.4,0.1,2.5,20.5,80.2,61.1,60.7,48.0,36.3,8.3,1.0,319.1
Guanajuato,0.0,0.0,1.2,0.3,76.7,139.7,111.8,653.3,65.1,23.7,4.9,3.8,1080.5
Guerrero,0.0,0.0,0.4,0.5,70.9,161.9,175.3,124.1,232.1,49.9,1.1,0.7,816.9
Hidalgo,7.4,6.4,20.5,42.5,57.0,140.0,57.6,107.0,77.8,36.2,23.7,15.0,591.1
Jalisco,0.0,0.4,0.1,0.2,37.0,166.7,123.2,121.7,114.8,56.8,2.0,9.3,632.3
Estado de México,0.1,3.9,7.8,7.8,84.5,176.0,100.1,125.5,99.3,52.5,9.1,1.2,667.8
Michoacán,0.0,1.6,0.7,0.3,69.7,187.8,183.0,149.6,122.5,62.6,12.4,7.2,797.4
Morelos,0.0,0.0,0.0,0.7,123.5,249.8,95.0,241.2,156.1,69.4,4.1,1.3,941.1
Nayarit,0.0,0.0,0.0,0.0,12.6,268.3,296.3,238.7,228.6,78.5,2.1,24.3,1149.4
Nuevo León,7.8,13.5,8.7,18.6,74.9,52.0,9.9,39.8,75.8,123.3,19.8,8.9,453.1
Oaxaca,19.9,13.0,41.9,45.6,225.9,306.8,178.5,378.8,244.7,106.2,80.8,35.0,1677.1
Puebla,39.0,54.6,26.7,135.7,185.0,419.8,212.9,364.7,245.2,139.3,74.5,85.7,1983.2
Querétaro,0.0,0.9,0.2,2.3,37.1,105.2,53.1,83.8,58.4,16.3,15.4,0.0,372.7
Quintana Roo,72.4,6.4,7.6,6.6,107.2,203.9,43.4,317.1,284.0,226.9,60.3,110.7,1446.4
San Luis Potosí,12.5,4.0,21.4,26.2,74.6,146.8,18.4,120.4,103.9,61.8,38.3,17.3,645.7
Sinaloa,0.0,0.0,1.4,0.0,0.7,113.1,158.8,151.0,104.6,117.2,43.9,1.2,691.9
Sonora,0.1,0.6,20.8,0.0,2.5,48.3,75.4,60.2,39.6,88.0,16.7,0.1,352.3
Tabasco,117.5,83.6,15.4,49.9,298.0,316.2,147.5,333.8,434.3,330.8,215.7,168.5,2511.2
Tamaulipas,25.9,15.6,50.2,31.0,58.0,166.3,19.8,128.9,67.5,179.3,50.8,44.1,837.4
Tlaxcala,0.0,0.2,6.7,24.2,112.2,182.7,66.6,107.5,64.2,43.3,14.4,5.4,627.4
Veracruz,48.6,31.7,39.9,72.4,193.0,298.7,213.4,377.3,288.5,157.1,128.0,99.7,1948.2
Yucatán,11.5,11.0,29.7,22.0,42.7,193.3,99.5,164.3,124.4,96.0,36.9,12.3,843.5
Zacatecas,0.0,2.8,0.0,1.1,41.0,146.2,95.3,99.7,42.4,41.9,3.6,18.8,492.7
Nacional,11.6,11.4,14.3,14.7,68.9,140.4,99.1,130.0,124.6,92.2,37.3,20.7,765.2
