Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,0.5,0.5,17.8,16.7,17.2,64.6,80.7,93.5,93.8,9.4,1.1,3.4,399.2
Baja California,57.2,56.1,17.6,22.1,0.3,0.0,2.5,0.0,1.3,43.9,10.4,17.6,229.0
Baja California Sur,1.9,0.2,4.3,2.2,0.4,0.1,14.0,28.4,94.6,10.6,1.5,0.6,158.8
Campeche,14.7,93.5,4.1,35.6,116.0,225.9,237.6,182.0,157.2,230.9,79.1,111.4,1488.0
Ciudad de México,2.3,8.5,8.5,55.9,58.0,148.8,162.0,162.1,163.0,43.7,7.3,3.5,823.6
Coahuila,15.0,10.2,24.7,16.5,22.8,26.2,23.4,40.9,81.9,12.7,17.8,13.0,305.1
Colima,3.5,0.0,16.6,0.0,2.9,71.5,158.5,255.9,140.0,66.4,0.0,0.0,715.3
Chiapas,23.0,107.5,22.1,100.9,276.0,169.3,285.5,346.9,426.1,279.7,94.4,138.5,2269.9
Chihuahua,9.4,18.1,5.5,5.9,11.4,34.7,110.2,79.1,32.6,7.0,6.1,2.9,322.9
Durango,1.6,0.4,11.6,11.9,8.8,27.6,70.7,61.3,32.6,16.9,2.8,4.8,251.0
Guanajuato,4.9,2.6,6.6,17.8,44.4,161.4,162.2,177.7,89.7,42.3,7.0,0.6,717.2
Guerrero,2.3,0.1,24.4,12.7,52.1,161.7,275.7,174.0,264.1,50.0,0.6,10.7,1028.4
Hidalgo,9.1,34.1,15.0,25.9,57.1,73.0,109.5,95.4,138.4,79.7,12.2,1.8,651.2
Jalisco,2.4,2.2,9.4,4.1,25.7,129.2,180.6,175.6,99.3,35.8,2.5,3.9,670.7
Estado de México,4.6,6.2,16.3,40.5,55.1,143.7,146.8,153.3,135.0,34.2,6.3,0.9,742.9
Michoacán,3.1,4.2,13.3,24.9,73.0,157.5,221.1,193.8,139.3,54.2,6.0,3.0,893.4
Morelos,3.9,0.8,20.9,20.4,54.3,226.6,225.1,247.2,253.1,55.9,0.3,3.1,1111.6
Nayarit,2.3,1.4,26.1,0.0,0.0,117.4,276.7,334.6,230.9,28.5,0.6,6.9,1025.4
Nuevo León,14.0,16.6,22.0,25.8,41.4,57.6,41.2,61.0,213.0,41.0,49.6,6.9,590.1
Oaxaca,14.8,33.0,41.6,25.6,121.9,286.0,328.4,313.7,318.1,200.4,22.0,32.1,1737.6
Puebla,23.4,40.8,43.7,63.4,75.8,207.4,221.9,239.6,282.8,163.8,47.1,30.3,1440.0
Querétaro,1.0,10.3,3.7,15.9,34.9,111.2,124.8,122.6,65.1,48.0,48.0,9.5,595.0
Quintana Roo,31.9,17.2,40.6,38.9,302.9,39.8,75.0,317.2,216.9,233.1,88.9,147.8,1550.2
San Luis Potosí,14.6,12.2,14.1,27.8,56.8,96.6,68.0,120.7,190.3,63.9,35.6,4.1,704.7
Sinaloa,5.0,12.1,24.0,0.0,1.1,42.0,155.4,148.8,108.8,20.2,2.4,8.8,528.6
Sonora,21.8,10.1,5.0,7.8,2.2,20.3,93.1,59.3,107.0,10.4,0.5,5.5,343.0
Tabasco,57.4,245.5,32.3,10.8,163.0,123.1,186.3,318.0,395.4,468.3,199.5,251.8,2451.4
Tamaulipas,13.2,24.5,19.9,54.4,45.7,82.7,59.4,132.1,207.9,28.2,75.2,12.9,756.1
Tlaxcala,0.3,7.0,7.7,34.0,86.7,149.4,150.0,78.7,122.2,26.1,2.4,14.8,679.3
Veracruz,56.3,53.6,62.8,60.6,162.2,205.6,236.2,323.6,327.2,328.7,103.7,60.2,1980.7
Yucatán,10.5,38.6,10.8,30.3,57.7,82.0,143.0,151.3,148.5,114.5,40.6,49.9,877.7
Zacatecas,1.4,1.1,14.1,15.8,29.2,74.2,118.0,126.5,88.0,14.9,2.2,5.4,490.8
Nacional,14.8,24.2,18.0,23.7,53.2,89.9,135.1,139.2,146.2,74.0,24.4,23.4,766.1
