Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,3.0,3.7,6.3,8.1,10.6,13.6,13.1,12.6,12.5,9.9,6.8,2.9,8.6
Baja California,5.8,5.6,7.3,8.1,11.6,12.9,16.1,18.7,16.8,11.3,7.5,4.8,10.5
Baja California Sur,8.6,8.4,10.6,10.9,14.3,17.7,21.2,22.2,21.1,17.0,12.6,8.9,14.4
Campeche,17.0,17.7,18.8,20.3,21.0,21.6,20.9,20.7,21.3,20.3,19.2,17.1,19.6
Coahuila,3.8,5.0,7.9,10.4,14.9,18.3,18.7,18.1,16.1,12.1,8.6,3.7,11.4
Colima,13.4,13.4,15.1,15.9,18.4,21.2,21.3,21.1,21.1,20.1,18.9,16.4,18.0
Chiapas,15.0,15.2,16.6,17.8,18.5,19.0,18.5,18.6,18.6,18.0,17.7,15.3,17.4
Chihuahua,-0.7,0.2,3.8,5.6,10.9,15.6,16.7,16.1,14.5,9.2,3.9,-0.3,7.9
Ciudad de México,4.7,6.4,8.0,10.2,10.6,11.4,10.7,10.4,10.8,9.4,8.3,5.9,8.9
Durango,0.8,2.4,5.1,7.0,10.8,14.3,14.6,14.0,12.6,9.2,5.3,0.9,8.1
Guanajuato,4.8,6.9,9.0,10.1,11.5,13.7,13.7,12.8,12.4,9.5,8.4,4.9,9.8
Guerrero,15.0,15.7,17.3,18.5,19.3,20.1,19.6,19.3,19.3,18.7,17.9,16.4,18.1
Hidalgo,3.6,4.7,7.0,9.2,9.8,11.0,10.7,10.3,11.0,9.0,7.7,4.4,8.2
Jalisco,5.5,6.0,9.0,10.5,13.0,16.7,16.3,15.8,16.0,13.8,10.8,7.1,11.7
Estado de México,2.0,3.1,5.1,7.1,7.9,9.7,9.3,9.0,9.7,7.8,6.1,3.3,6.6
Michoacán,5.9,6.9,9.5,10.9,12.9,15.2,14.7,14.1,14.6,12.6,11.0,7.8,11.3
Morelos,9.1,10.3,12.7,15.0,15.5,17.0,15.8,15.5,16.2,14.9,13.3,10.7,13.8
Nayarit,11.2,11.1,13.2,14.8,17.5,22.1,21.3,21.1,21.6,20.1,16.3,13.1,16.9
Nuevo León,5.5,6.8,9.9,11.9,15.6,18.4,18.8,18.6,17.3,13.7,11.0,5.5,12.7
Oaxaca,12.1,12.3,14.5,15.8,16.5,17.4,16.9,16.3,16.5,15.6,14.6,12.5,15.1
Puebla,6.1,6.9,9.0,11.0,11.6,13.0,12.2,11.9,12.6,10.9,9.5,6.6,10.1
Querétaro,5.5,6.5,8.8,11.0,12.5,14.0,13.7,12.9,13.1,11.0,9.9,6.2,10.4
Quintana Roo,16.8,17.2,18.0,20.1,21.3,22.3,21.9,21.6,22.0,21.0,19.9,17.3,19.9
San Luis Potosí,8.2,8.9,11.6,13.3,15.6,17.9,17.3,17.1,16.7,14.0,13.0,8.2,13.5
Sinaloa,9.6,9.7,12.2,13.6,17.3,23.6,23.9,23.6,23.8,20.4,15.1,10.3,16.9
Sonora,5.2,5.0,8.2,9.2,14.3,18.8,22.6,22.5,21.4,15.2,9.2,4.6,13.0
Tabasco,19.3,19.1,20.6,22.0,23.0,23.7,22.8,22.7,23.1,22.2,21.7,19.2,21.6
Tamaulipas,10.9,12.0,14.8,16.3,19.6,22.3,22.0,21.8,20.9,17.6,15.6,10.5,17.0
Tlaxcala,1.3,2.1,4.0,6.8,6.8,8.2,7.8,7.6,8.9,6.9,5.1,2.6,5.6
Veracruz,14.1,14.2,16.3,17.8,19.2,20.7,19.6,19.4,19.7,18.1,17.3,13.9,17.5
Yucatán,16.6,17.2,18.1,20.4,21.2,22.0,21.4,21.2,21.4,20.7,19.4,16.9,19.7
Zacatecas,1.1,2.2,5.3,7.2,10.4,14.0,13.6,13.1,12.5,9.9,6.3,2.2,8.1
Nacional,8.1,8.8,11.0,12.7,14.9,17.1,17.1,16.9,16.8,14.4,12.1,8.7,13.2
