Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,22.9,25.2,27.4,30.1,31.0,29.4,28.7,28.1,27.6,26.5,24.5,22.0,26.9
Baja California,22.1,21.6,21.7,24.9,27.5,30.4,32.3,33.3,31.7,28.6,23.8,22.3,26.7
Baja California Sur,26.5,27.3,27.2,29.6,31.4,33.8,35.2,35.8,34.4,32.4,28.5,26.4,30.7
Campeche,29.2,30.7,33.7,36.3,36.6,33.9,33.6,33.1,32.5,31.0,29.9,28.3,32.4
Coahuila,23.0,25.8,28.7,31.6,34.4,33.2,34.0,33.4,31.9,27.4,23.6,20.2,28.9
Colima,32.2,32.6,32.5,33.8,33.8,33.4,33.2,32.9,31.9,32.4,32.9,32.2,32.8
Chiapas,28.7,29.8,31.9,32.8,31.8,30.3,30.3,30.2,29.3,28.5,28.7,27.9,30.0
Chihuahua,20.8,23.6,24.9,28.2,32.3,32.0,30.8,30.3,30.2,25.6,21.9,18.2,26.5
Ciudad de México,20.7,22.3,24.4,26.6,25.8,24.3,23.7,22.2,22.6,22.2,21.9,20.1,23.0
Durango,22.5,25.1,26.8,29.9,32.1,29.7,29.0,29.1,28.7,26.1,23.0,20.3,26.8
Guanajuato,23.6,25.8,28.2,30.5,31.5,29.3,26.8,27.1,26.3,25.5,24.2,22.5,26.8
Guerrero,31.0,32.0,33.3,34.5,34.1,31.8,31.4,31.0,30.7,30.9,31.2,30.6,31.8
Hidalgo,22.5,24.2,26.8,28.4,28.2,25.8,24.7,24.7,23.8,22.2,22.5,21.2,24.6
Jalisco,27.5,29.4,30.8,32.9,33.5,30.3,28.9,28.8,28.8,29.0,28.1,26.6,29.5
Estado de México,20.9,22.4,24.2,25.8,25.1,23.0,22.2,21.8,21.4,21.1,21.3,19.9,22.4
Michoacán,26.1,27.7,29.3,31.4,31.5,28.3,27.1,26.8,26.9,26.7,26.4,25.1,27.7
Morelos,28.0,29.7,32.1,33.8,32.8,29.8,29.4,29.0,28.4,28.3,29.0,27.8,29.8
Nayarit,30.9,32.1,33.4,35.4,36.4,34.7,33.4,33.6,33.4,33.1,31.9,30.3,33.2
Nuevo León,23.8,26.4,28.4,31.4,33.1,32.2,33.1,33.1,31.1,26.4,24.2,20.4,28.6
Oaxaca,27.3,28.8,31.0,32.2,31.4,29.1,28.9,28.6,27.6,27.5,27.5,26.6,28.9
Puebla,22.9,24.5,26.7,28.7,28.1,26.0,25.3,25.7,24.7,23.7,23.6,22.0,25.1
Querétaro,23.3,24.7,27.7,29.6,30.1,27.4,26.3,26.1,25.7,24.0,24.1,22.3,25.9
Quintana Roo,29.0,30.1,31.8,33.3,33.6,32.0,32.8,32.7,32.4,30.7,29.7,28.8,31.4
San Luis Potosí,25.3,27.4,30.2,32.6,33.6,31.1,30.6,30.6,29.6,27.2,26.1,23.8,29.0
Sinaloa,29.9,31.3,31.7,34.0,36.2,36.5,35.2,35.0,34.9,34.2,31.0,29.1,33.2
Sonora,26.3,27.9,28.3,31.9,36.4,38.1,37.2,36.9,37.2,33.1,27.7,24.8,32.1
Tabasco,29.1,30.4,33.7,35.4,36.0,34.1,33.3,33.0,32.1,29.8,29.4,27.6,32.0
Tamaulipas,25.9,28.3,30.8,33.4,34.9,33.6,34.0,34.4,32.6,29.1,27.0,23.0,30.6
Tlaxcala,21.9,23.8,25.5,26.6,25.9,23.9,23.4,23.1,22.4,21.9,22.1,20.3,23.4
Veracruz,25.5,27.1,30.2,32.3,33.3,31.2,30.4,30.5,29.4,27.4,26.0,23.9,28.9
Yucatán,30.1,31.9,34.2,36.1,36.8,34.2,34.3,34.3,33.9,31.8,30.6,29.1,33.1
Zacatecas,23.4,25.8,27.2,30.2,31.2,28.4,27.5,27.4,27.3,26.3,24.2,21.8,26.7
Nacional,25.7,27.3,29.2,31.4,32.2,30.6,30.2,30.1,29.5,27.8,26.5,24.5,28.7
