Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,0.0,1.0,0.0,0.0,1.3,85.5,66.6,114.5,76.4,13.3,0.1,0.0,358.7
Baja California,22.3,148.1,60.9,26.2,21.0,0.2,2.7,4.7,2.2,4.4,13.2,12.5,318.4
Baja California Sur,0.2,8.0,1.2,0.0,0.0,1.1,24.1,84.4,109.1,12.0,0.4,0.1,240.5
Campeche,30.8,9.5,7.9,2.4,38.9,122.0,250.7,187.2,218.0,196.0,178.1,49.6,1291.1
Ciudad de México,9.3,0.0,0.2,5.9,6.3,72.4,101.1,202.1,257.3,110.2,22.9,0.3,787.9
Coahuila,3.2,5.2,18.1,0.2,0.6,32.8,10.3,144.3,56.1,38.0,14.8,2.6,326.3
Colima,0.1,0.0,0.0,0.0,0.1,90.9,170.0,183.0,415.7,82.7,4.1,0.0,946.8
Chiapas,14.0,9.0,3.9,5.6,14.1,246.8,278.9,274.7,355.1,278.8,144.0,37.5,1662.5
Chihuahua,0.1,11.8,6.8,0.0,0.1,16.2,80.1,80.9,36.4,27.0,10.6,1.3,271.3
Durango,0.2,5.3,0.1,0.4,0.0,25.0,69.4,100.0,37.5,27.2,4.5,0.0,269.6
Guanajuato,0.9,1.1,0.3,0.1,0.7,98.0,131.1,189.5,214.7,77.2,10.4,0.0,724.0
Guerrero,0.0,0.0,0.1,0.0,2.6,110.2,232.5,167.3,266.0,130.2,14.0,0.3,923.4
Hidalgo,17.9,4.0,18.8,6.7,1.1,62.4,71.8,91.6,269.1,161.9,48.8,5.0,759.1
Jalisco,0.1,0.6,0.0,0.0,0.2,93.5,179.2,185.2,211.1,47.5,3.1,0.0,720.4
Estado de México,6.3,0.0,0.0,2.0,3.0,81.5,86.8,119.0,183.9,74.9,15.3,0.3,573.1
Michoacán,0.2,0.5,0.4,0.0,0.3,103.0,178.6,171.2,209.7,66.0,7.0,0.0,736.9
Morelos,1.6,0.0,0.0,0.6,1.7,162.2,167.5,240.0,344.8,125.9,22.0,0.0,1066.5
Nayarit,0.8,21.1,0.0,0.1,0.0,98.2,354.9,359.6,416.2,155.4,6.0,0.2,1412.6
Nuevo León,1.9,15.9,23.9,2.9,0.9,31.0,24.0,84.0,129.8,67.7,37.4,2.4,421.7
Oaxaca,33.8,1.1,25.7,27.9,0.7,147.0,377.0,198.4,543.5,352.6,100.2,13.1,1821.1
Puebla,24.3,6.6,18.9,19.7,2.1,120.7,362.5,234.9,456.2,475.9,146.2,26.7,1894.8
Querétaro,1.3,0.4,0.1,0.0,0.5,73.3,39.1,116.9,176.7,80.9,15.7,0.0,504.8
Quintana Roo,167.0,15.0,18.0,39.4,79.7,192.0,229.7,210.9,174.5,403.6,164.8,54.7,1749.2
San Luis Potosí,10.6,8.7,18.5,9.7,9.7,69.2,114.7,93.7,241.5,172.2,70.7,6.9,826.0
Sinaloa,0.0,18.0,2.8,0.1,0.0,11.3,151.0,190.1,211.3,27.7,2.5,0.0,614.8
Sonora,0.0,33.0,10.3,0.3,0.0,20.9,104.3,97.2,55.5,16.4,6.5,2.3,346.6
Tabasco,73.8,22.5,7.8,17.0,0.0,153.4,366.7,257.3,328.5,427.9,190.1,111.1,1956.2
Tamaulipas,2.1,28.5,27.9,4.7,10.4,35.9,29.4,80.1,251.1,140.1,78.1,8.0,696.3
Tlaxcala,4.4,0.0,0.0,5.8,4.6,92.1,80.9,169.4,272.4,77.8,17.5,0.0,725.0
Veracruz,35.7,9.2,47.4,28.9,6.6,102.5,323.7,199.1,373.4,363.6,201.0,61.6,1752.8
Yucatán,45.4,17.1,19.7,42.2,81.8,121.7,141.6,152.3,174.7,147.1,101.1,12.7,1057.5
Zacatecas,0.3,3.2,0.0,0.0,0.5,67.3,99.8,146.1,109.6,35.1,10.1,0.0,472.1
Nacional,12.2,16.0,12.8,6.4,7.6,68.9,138.7,139.2,172.5,112.0,43.6,11.1,741.0
