Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,13.1,14.6,16.9,19.0,21.5,21.9,19.8,20.1,19.3,18.5,15.8,14.0,17.9
Baja California,14.0,13.2,15.8,18.2,22.3,24.5,25.0,26.8,26.1,21.6,17.4,14.4,20.0
Baja California Sur,17.2,17.0,19.8,21.0,23.9,26.5,28.4,28.9,28.3,25.2,22.1,18.9,23.1
Campeche,23.7,24.9,26.0,28.4,29.3,28.0,27.7,27.9,27.1,26.8,24.9,25.3,26.7
Coahuila,13.6,15.6,19.8,23.4,25.9,28.5,27.6,28.8,25.7,22.7,16.9,14.3,21.9
Colima,24.5,23.8,24.7,22.5,26.4,27.5,27.8,27.6,27.1,27.9,26.6,25.7,26.0
Chiapas,23.3,23.8,24.5,25.2,26.6,25.6,25.3,25.4,25.1,24.8,23.1,22.8,24.6
Chihuahua,10.1,11.7,15.6,21.9,22.4,26.7,24.2,24.5,22.0,19.3,14.6,11.1,18.7
Ciudad de México,14.6,16.2,17.3,19.0,19.7,19.1,18.1,18.2,17.6,17.8,15.5,15.6,17.4
Durango,11.6,13.4,16.2,19.5,21.7,24.1,22.0,22.0,20.2,19.0,15.2,12.9,18.2
Guanajuato,14.6,15.9,18.3,22.5,22.4,22.0,20.4,20.5,19.9,19.7,16.4,15.7,19.0
Guerrero,24.1,24.5,25.8,25.0,27.6,26.4,26.0,25.9,25.2,25.6,24.5,23.9,25.4
Hidalgo,14.0,15.6,17.1,19.9,20.8,20.7,19.7,19.8,19.2,18.2,15.7,15.2,18.0
Jalisco,17.0,18.2,19.8,21.6,24.2,24.2,22.1,22.3,21.4,21.1,19.0,17.2,20.7
Estado de México,11.8,13.3,14.7,15.9,17.3,17.1,16.5,16.6,16.8,15.4,13.0,12.9,15.1
Michoacán,16.6,17.4,19.1,20.7,22.8,22.6,21.0,20.7,20.6,21.0,18.5,16.9,19.8
Morelos,19.2,20.6,21.9,23.7,24.2,22.8,21.5,21.8,21.6,21.3,19.9,19.7,21.5
Nayarit,21.8,22.1,23.6,24.6,27.5,28.5,27.9,28.1,27.6,28.0,25.8,23.3,25.7
Nuevo León,15.4,17.3,20.3,23.6,25.7,27.9,27.6,28.2,25.6,23.1,17.9,15.7,22.4
Oaxaca,21.5,23.1,23.8,25.4,26.4,25.4,25.2,25.1,24.8,24.6,22.3,21.8,24.1
Puebla,15.5,16.7,17.9,19.7,20.3,19.9,19.3,19.5,19.1,18.4,16.4,16.2,18.2
Querétaro,15.5,17.4,18.7,21.3,22.8,21.9,20.6,20.5,20.4,19.5,16.8,15.6,19.3
Quintana Roo,24.7,25.0,25.6,27.7,28.5,28.4,28.6,28.8,28.3,27.7,25.3,25.6,27.0
San Luis Potosí,16.8,19.3,21.8,24.4,26.4,27.1,26.0,26.1,25.0,23.3,19.7,18.4,22.9
Sinaloa,19.0,19.1,21.7,23.8,27.1,29.9,29.5,29.5,28.6,27.1,24.3,20.7,25.0
Sonora,14.1,14.3,18.7,21.5,25.6,30.4,29.6,29.9,28.0,23.4,19.8,14.8,22.5
Tabasco,22.9,24.6,25.8,26.2,28.7,27.8,27.8,28.0,27.7,27.1,24.9,24.7,26.3
Tamaulipas,18.3,20.1,22.6,25.3,27.4,29.3,28.8,29.4,27.6,25.4,20.7,18.6,24.5
Tlaxcala,12.0,13.7,14.4,16.1,17.3,16.7,15.7,15.9,15.9,15.3,13.2,13.0,14.9
Veracruz,19.3,21.0,22.1,24.3,25.6,25.6,24.9,25.0,24.6,23.7,20.5,20.1,23.1
Yucatán,23.6,24.7,25.2,27.6,28.6,27.8,27.4,27.8,27.3,26.5,23.9,24.4,26.2
Zacatecas,12.2,13.8,17.8,18.4,21.1,21.7,19.8,20.0,18.9,18.3,15.3,13.5,17.6
Nacional,16.3,17.4,19.7,22.5,24.6,26.3,25.4,25.8,24.4,22.6,19.2,17.1,21.8
